id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=6867&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=6867&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=6867&f_CR=103644278&geoId=92000000&start=50,,,,,,
https://www.linkedin.com/jobs/view/3d-printing-mechanical-engineering-technician-at-align-technology-3386867188?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=HDQEGwySzoIL4DmDwOl5dQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,16 hours ago,3D Printing Mechanical/ Engineering Technician,"Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity Align is looking for a 3D Printing Mechanical/ Engineering Technician for our San Jose California location. This is for a full-time position and does require coming to the facility every work day. Some on the job training is available. In this role, you will… Handle resins for 3D printers and characterize the materials using various equipment (Printers that use optical curing to create the 3D object) Program and run 3D printers Data collection from instrumentation and measurements Maintain, clean, and insure proper functioning of equipment and printers Write reports based on data collection Perform literature searches Maintain a laboratory notebook Good communication skills needed In this role, you’ll need … At least 2 years of lab experience preferred Experience with handling resins and chemicals Experience with characterization equipment (such as FTIR, DMA, DSC, or others) Experience with 3D printers Understands good laboratory techniques and follows required safety protocols Good observational skills Must be willing to learn new techniques and take direction from others Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.","San Jose, CA",
https://www.linkedin.com/jobs/view/analytical-chemist-at-align-technology-3335376075?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=wDZkDbZHSZfhwGEv5BEw%2BA%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,1 week ago,Analytical Chemist,"Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity We are seeking a motivated Analytical Chemist/Lab Technician, Analytical Chemistry to join the Materials Research Engineering team at Align San Jose California Location. The Analytical chemist will be responsible for supporting the new product/method development and would focus on bringing operational excellent to our R&D research and labs. The ideal candidate should have good understanding of working with chemicals and polymer materials. This role will be part of Align goal to deliver our clear aligners (Invisalign®) and 3D scanners (iTero®) to our customers. We would love for you to join a fun and cutting-edge technology company that has helped create over 4 Million Smiles (#5MILLIONSMILES). In this role, you will… Participate and collaborate with R&D team for new material development, formulation, and process improvements Work in team for troubleshooting with analytical equipment, analytical methods, and chemical processes Perform verification and validation of chemical analytical method under guidance Perform analysis to identify and quantify species related to material synthesis and process development Measure and track the quality and consistency of the analytical equipment Maintain analytical equipment functionality, and perform Performance maintenance as needed Perform regular inventory check and stock up of all consumables Document test protocols and reports in accordance with FDA & other regulations In this role, you’ll need … QUALIFICATIONS Strong organizational skills, including an ability to prioritize activities and work with limited supervision Ability to make good decisions using sound, professional judgmentto his/her roles Excellent communication skills in both technical and non-technical environments Knowledge of laboratory environmental and safety requirements Experience in operating equipment (including GC, GPC, HPLC, DSC and TGA) Ability to effectively operate in an evolving complex and dynamic environment Must have the ability to work in a team environment with attention to detail and organization EDUCATION And/or EXPERIENCE BS in Chemistry or equivalent field, and/or functional equivalent experience 2+ years of hands-on experience in chemical lab Experience in Medical Device product development is preferable Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.","San Jose, CA 33 applicants",
https://www.linkedin.com/jobs/view/associate-director-events-and-experiences-ams-at-align-technology-3383526290?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=Flt6oHKAJf0YAhi4%2B8qZNQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,3 days ago,"Associate Director, Events and Experiences, AMS","Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity Align Technology is seeking an experienced Associate Director, Events and Experiences to lead a team driving event and experience transformation within the Americas Marketing Technology, Communications, and Experience group. Who you are: You're a hands-on, roll-up-your-sleeves leader with a successful track record of leading the execution of creative solutions on-site and off-site Events spanning a variety of internal and external audiences. You thrive in a fast-paced environment and are comfortable creating an overall strategy for Event management as well as hands-on execution. This person must be customer-centric, and a self-starter with a proven ability to lead, coach and inspire a team of Event Managers and Specialists. She/he must work effectively cross-functionally and collaboratively with regional Marketing, Education, Corporate Communications, Commercial Excellence, and IT teams, in addition to outside agencies. In this role, you will… Own the end to end experience strategy for internal and external events including but not limited to tradeshows, customer conferences and forums, clinical education events, executive briefings, awards ceremonies, and leadership forums Ensure a best in class experience is delivered for all engagements Utilize best practices and be ahead of trends to elevate the brand presence and experience for events Ensure that all elements of events can be tracked, monitored, and reported to leadership on a regular basis Manage the budget and ensure we achieve operational goals within plan Manage cross-functional relationships with other departments who are stakeholders in events Manage vendor relationships and provide oversight of contract process and negotiations with sourcing partners Partner across internal departments and relevant executives, speakers, presentations and subject matter experts when required Develop and maintain processes that run the Events and Experience team at the highest standards, including refurbishment projects, upgrades to displays, policies and procedures, Manage and/or participate in special events as needed In this role, you’ll need … Minimum 10 years of event management experience and 2 + years of experience leading a team Bachelor’s degree Experience executing in a fast-paced environment without compromising quality Excellent collaboration, communication and interpersonal skills Proven experience with event management vendors and platforms Exceptional time management skills, including the ability to handle multiple projects and workstreams while effectively managing changing priorities Ability to manage multiple stakeholders, agencies, and teams cross functional teams Demonstrated ability to think strategically Ability to analyze and assess organizational needs and provide solutions accordingly Capability to quickly attain credibility with internal and external stakeholders/audiences Clear understanding of success measures and key performance indicators for events Willingness and ability to work beyond standard hours, as needed to complete projects Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.","Morrisville, NC",
https://www.linkedin.com/jobs/view/associate-education-manager-special-markets-at-align-technology-3375309753?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=aKqkh6RvrjF7OjsAF6UJCw%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,5 days ago,"Associate Education Manager, Special Markets","Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity The Associate Education Manager, Special Markets will work as part of our clinical education team supporting our Special Markets channel dedicated to Align’s corporate account partners, known in the industry as Dental Service Organizations (DSOs). The focus of this role is to develop and execute the education plan for assigned DSOs. This role will effectively establish strong relationships with key customer stakeholders while working alongside cross-functional internal teams. The Associate Education Manager, Special Markets build custom clinical education pathways designed to increase utilization of Invisalign clear aligners and iTero imaging systems. In this role, you will… Work directly with the business development team to build and maintain partner leadership relationships Understand unique customer business goals and strategies for assigned DSO partners Influence c-suite stakeholders around long-term education strategies Segment customer base and design tailored education plans that drive adoption of Align’s digital platform Work cross functionally with education and Align Events team on course materials, presentations, shipping, vendors, training team, and execution of logistics maintaining high quality partner experience for Special Markets. Represent the education value-proposition as a key component of the Special Markets program to prospective partners In this role, you’ll need … College graduate (BA/BS) or equivalent experience 4+ Years Professional experience Experience in sales or other customer facing roles required Dental industry experience a plus Experience presenting your ideas and influencing key customer stakeholders Strong project management skills with effective problem-solving skills Strong communication, independent project management, or independently learning and using new technology and systems Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.","Morrisville, NC",
https://www.linkedin.com/jobs/view/associate-scientist-at-align-technology-3303439866?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=I2IZpTfNLdPtFS8csKeBHg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,2 weeks ago,Associate Scientist,"Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity We are looking for an innovative candidate to be a key contributor as a Associate Scientist in our San Jose, CA location. As a key member of the R&D Materials Engineering team, you will be responsible for supporting on the new product development as well as improving Align's existing products. The ideal candidate will have a background in chemistry and 3D printing resin development. In this role, you will… Assist in conducting synthetic chemistry experiments and characterizations Mix, Formulate and characterize new components and understand structure-property and relationship Support activities related to new product development, process improvements or further product/equipment evaluation Work independently at the laboratory bench to develop and evaluate new products or to adapt and improve existing ones. Direct lab bench work for product development and physical property testing duties. Work cross-functionally Demonstrate ability to work safely in a team environment Support product development teams working toward the development of new products. Prioritize and meet deadlines and construct project timetables. Prepare written reports summarizing key findings. Identify and implement effective courses of action. Experience of physical-chemical processes and methods of materials characterization. Familiarity with chemistry and polymer characterization methods (mechanical testing, thermal analysis, rheology, spectroscopy and the underlying theory) Ability to work on several projects simultaneously as well as participate on cross-functional teams. Ability to work on projects that vary from routine to very complex. In this role, you'll need A Bacholors in Chemistry or polymer chemistry or related field with 0-2 years of experience Understanding to work with chemicals by using proper protective equipments Excellent communication Experience with analytical instruments Plus for the role would be... Dental or Medical device experience are highly desirable. Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement It is our policy to provide equal employment opportunity in all of our employment practices without regard to race, color, religion, sex, national origin, ancestry, marital status, protected veteran status, age, individuals with disabilities, sexual orientation or gender identity or expression or any other legally protected category. Applicants for positions with Align must be legally authorized to work in the country which they are applying for and verification of employment eligibility will be required as a condition of hire.","San Jose, CA 28 applicants",
https://www.linkedin.com/jobs/view/business-internship-program-undergraduate-at-align-technology-3243820446?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=zx1UZJ7qG3J8SV1VMhz9Ag%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,4 days ago,Business Internship Program- Undergraduate,"Join a team that is changing millions of lives. Transforming smiles. Transforming lives. Transforming an industry.   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our teams are constantly pushing the boundaries of what’s possible. About This Opportunity Align Technology is seeking talented and innovative Undergraduate Business Interns across our organization. We are excited to offer students opportunities that can launch big careers. With a global reach beyond 1 million consumers, we’re the team that’s changing lives and making the world a better place through more smiles. We view interns as essential to the ongoing growth and innovation of our company. Intern Program Details What sets this program apart from others? You’ll join a community of interns and participate in events curated just for you, including skills workshops and intimate sessions with Executive leaders. You will be assigned a manager to guide and support you through our individualized GROW Professional Development process. You’ll also receive a mentor to provide day-to-day advice as you become the best professional version of yourself. What kinds of roles are intern candidates hired into? Business Internships Are Available In a Variety Of Departments, Including As an intern in one of our business groups, you’ll work on projects essential to the future of our organization. These projects are designed to provide rich, real-world experience as a window into each career field. Finance: Drive financial and accounting support for the company HR: Providing valuable resources for employees and maintaining the company’s culture Marketing: Providing creative resources for internal customers Operations: Operational support analyzing supply chain through optimization and efficiencies Sales: Provide world-class service to our medical and healthcare clients Our intern recruitment team will assess where you may be a best- fit based on your CV and the preferences you indicate during the application process. How long is the program? Our Internship Program begins May 2023 and runs through August 2023. You'll contribute to challenging projects with high impact during this 10 to 12-week paid internship. In this role, you will… Be agile, accountable, and customer-centric - These are the values we are built on! Work both independently and collaboratively within a fast-paced environment Grow with the support of your team and help others grow by providing meaningful insights and feedback Build relationships and deliver measurable results within your department Be given opportunities for tangential learning Perform additional responsibilities based on the specific role or group In this role, you’ll need … Must be currently enrolled at an accredited college or university pursuing a Bachelor’s degree with at least one quarter/semester to complete after internship. Must be available to work full time during the summer months (May – August) Must be available to work a hybrid schedule (3 days in office, 2 days remote) in one of our three offices: Raleigh, North Carolina Tempe, Arizona San Jose, California Strong written and verbal communication skills and ability to work in a team environment To be detailed oriented and well-organized with great time management skills Nice To Haves Involved inside and outside of the classroom Strong desire to expand skillset and experience Familiarity with MS Suite Sound like a good fit? Great! Click the Apply link below to let us know you are interested. Not the right fit? Don’t worry, there are lots more opportunities. Please consider sharing this opportunity with others in your network. About Align Invisalign clear aligners, iTero Intraoral scanners, and OrthoCAD digital services that help dental professionals achieve the clinical results they expect and deliver effective, cutting-edge dental options to their patients. We respect your privacy. Please review our Applicant Privacy Policies for additional information.  Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. Equal Opportunity Statement Align Technology is an equal opportunity employer. We recruit, employ, train, compensate and promote regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, veteran or disability status.","Morrisville, NC 139 applicants",
https://www.linkedin.com/jobs/view/clinical-education-strategy-manager-at-align-technology-3382815485?refId=2x8nvXTGpvlT6QsUfjzc4g%3D%3D&trackingId=54NeRIHYbKIPzAuTyIpuWg%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Align Technology,3 days ago,Clinical Education Strategy Manager,"Join a team that is changing millions of lives. Transforming smiles, changing lives   At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives people the confidence to take on whatever’s next. We revolutionized the orthodontic industry with the introduction of the Invisalign system, and we have never lost sight of that spirit of innovation. Our diverse and collaborative teams are constantly pushing the boundaries of what’s possible.   Ready to join us?  About This Opportunity The successful Clinical Education Strategy Manager will promote doctor and practice success by providing clinical expertise in the creation and execution of strategic clinical education initiatives, in the creation of clinical education content, and in collaboration with our partners in professional marketing and marketing technology. In this role, you will… Provide clinical expertise in the creation of new educational content, including providing general clinical context and subject matter expertise Develop new content, courses, and other educational events and materials in collaboration with members of the Clinical Education, University and Early Career, Professional Marketing, Field Clinical, and Product Marketing Teams Lead the development of strategies to bring customized educational material and programs to larger group practices, dental service organizations, and orthodontic service organizations Review existing published literature and data to help inform the creation of new educational content Work with Align speakers and faculty to ensure quality content and presentations Build strategy that successfully brings effective learning experiences to doctors and team members Collaborate to produce learning materials and provide internal training for members of the sales team Assist with review of power point presentations, digital images, radiographs, intraoral scans, and other records for marketing and/or sales materials Perform other duties as assigned In this role, you’ll need … Dental (DDS, DMD) or Dental Hygiene Degree (BSDH, RDH), or international equivalent degree; or more than 15 years of advanced clinical experience in a role such as Treatment Coordinator 10+ years of experience in dentistry and / or dental education Advanced education in dentistry and/or a dental specialty desired Formal degree in educational design and/or delivery desired Excellent communication skills A strong preference to work as a member of a team The ability to provide effective instruction in a variety of settings, including individually and speaking to groups Ability to learn new software systems independently Sound like a good fit?      Great! Click the ""Apply"" link to let us know you are interested. Not the right fit? Don’t worry, Align is quickly growing so we are creating more opportunities to expand our Align family. Please consider joining our Talent Network to receive notifications about future jobs or sharing this opportunity with others in your network.       About Align      Align Technology is a publicly traded medical device company that is transforming smiles and changing lives. Our global team of talented employees develop innovative technology, tools and treatment options to help dental professionals worldwide achieve the clinical results they expect. Our digital ecosystem combines the power of technology to create beautiful smiles through the integration of AI and machine learning, digital imaging and visualization, biomechanics and material science to develop the Invisalign system, the most advanced clear aligner system in the world; iTero Intraoral Scanners and OrthoCAD digital services. Did you know? Align is the world’s largest manufacturer of custom 3D-printed materials.       By joining Align, you will be part of a global, fast-growing company in one of the most dynamic industries. Great people, innovative technologies, and meaningful work – these are just some of the things employees say make Align Technology a great place to work.       We respect your privacy. Please review our Applicant Privacy Policies for additional information.     Global Diversity Statement At Align, we believe in the power of a smile, and we know that every smile is as unique as our employees. As we grow, we will continue building a workforce of diverse cultural backgrounds and life experiences and fostering a culture of open-mindedness and compassion for all our employees. We live our company values by promoting healthy people and healthy communities. All with the intent of changing millions of lives, one unique smile at a time. US EEO Statement Align Technology is an equal opportunity employer. We recruit, employ, train, compensate and promote regardless of race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, age, veteran or disability status.","Morrisville, NC",
