id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=4561&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs/view/director-human-resources-at-charter-communications-3343553652?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=H5TvJ%2Fx%2Bom%2Fr3RFaaEwErw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,3 weeks ago,Director Human Resources,"This is an On-site Position in Stamford CT, Not Remote or Hybrid. JOB SUMMARY Reporting to the VP of Human Resources, the Director of Human Resources is responsible for managing a portfolio of HR projects for the Spectrum Community Solutions business unit, and enhancing the employee culture with thought leadership, managing employee relations, talent management and more. This position will partner with business leaders to support and implement effective short and long term strategies to attain organizational objectives and combine HR mastery and industry knowledge to appropriately evaluate and resolve complex HR issues within a fast paced and constantly changing business environment. The incumbent will also partner with peers leading Learning & Development and Talent Acquisition to manage a large and geographically dispersed employee base. MAJOR DUTIES AND RESPONSIBILITIES Manage a portfolio of Human Resources projects and programs spanning the business unit and participate in enterprise-wide task force initiatives Oversee all aspects of employee relations; ensure Company policies are administered fairly and consistently. Provide consultative support to managers and supervisors Ensure legal compliance with all applicable local state and federal employment laws, including but not limited to FLSA, FMLA and ADAAA to minimize risk/exposure to the company Provide guidance to ensure the integrity of the performance management program and the development of employees Partner with respective client group in order to understand the business challenges and to ensure effective and timely HR support Manage organizational change and oversee HR communications Work closely with Talent Acquisition lead to ensure recruiting and staffing processes comply with EEO, FCC and Affirmative Action guidelines Design and implement employee retention strategies Conduct employee investigations and oversee all escalated employee issues, including ethics point reports Perform other duties as required REQUIRED QUALIFICATIONS Skills/Abilities and Knowledge Ability to communicate orally and in writing in a clear and straightforward manner Ability to communicate effectively with executive management and company personnel Ability to effectively delegate and develop team members Ability to effectively plan/manage/lead projects Ability to supervise the work of others Ability to mentor, develop and motivate team members to the success of the department and business. Ability to deal with the public in a professional manner Ability to maintain confidentiality of information Ability to make decisions and solve problems while working under pressure Strong PC skills and MS Office skills Ability to prioritize and organize effectively Ability to show judgment and initiative and to accomplish job duties Ability to work independently Strong Business Acumen Demonstrated negotiating skills Ability to analyze and interpret data in order to build a business case Expert knowledge of local, state and federal employment laws and procedures Expert knowledge of recruitment trends and technologies Expert knowledge of wage and hour laws Expert project management skills Strong communication skills including public speaking Expert knowledge of staffing and employment practices Expert knowledge of employee relation's procedures and applicable law Strong knowledge of broadband services industry/subscription based business model Education Bachelor's degree in human resources, business, or organizational behavior or related field Master’s Degree Preferred Certifications and/or Licenses Certifications for Human Resource Professionals (PHR, SPHR) preferred Related Work Experience 8-10 Human Resource Generalist experience in a multi-location environment 5+ years management experience required WORKING CONDITIONS Office environment Get to Know Us Charter Communications is known in the United States by our Spectrum brands, including: Spectrum Internet®, TV, Mobile and Voice, Spectrum Networks, Spectrum Enterprise and Spectrum Reach. When you join us, you’re joining a strong community of more than 93,000 individuals working together to serve more than 32 million customers in 41 states and keep them connected to what matters most. Watch this video to learn more. Who You Are Matters Here We’re committed to growing a workforce that reflects our communities, and providing equal opportunities for employment and advancement. EOE, including disability/vets. Learn about our inclusive culture.","Stamford, CT 95 applicants",
https://www.linkedin.com/jobs/view/human-resources-manager-at-charter-communications-3356444589?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=Faj3E8AIBGPMFKKXgDiFog%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,3 weeks ago,Human Resources Manager,"This role is ON SITE daily in Austin Texas it is not Remote or Hybrid At a glance: Are you a team-focused human resources (HR) professional enthusiastic about partnering with your clients to assist them with managing their talent? Can you commit to a leadership position inspiring teams to achieve company goals and objectives? Do you desire a competitive salary with lucrative benefits and a focus on professional development? Our company: At Spectrum Enterprise, our goal is to foster an engaging work environment that encourages our team members to reach their full potential. We promote a culture of excellence that celebrates diversity, innovative thinking and dedication to consistently exceeding client expectations. Spectrum Enterprise, a part of Charter Communications, Inc., is a national provider of scalable, fiber technology solutions serving America’s largest businesses and communications service providers. The broad Spectrum Enterprise portfolio includes networking and managed services solutions: Internet access, Ethernet access and networks, Voice and TV solutions. Spectrum Enterprise’s industry-leading team of experts work closely with clients to achieve greater business success by providing solutions designed to meet their evolving needs. More information about Spectrum Enterprise can be found at enterprise.spectrum.com. Highlights: As the Manager of Human Resources (HR), you will promote company growth through the effective partnering with your client group leaders in the implementation of sound people management skills and initiatives. You excel at balancing employee advocacy and business operating needs by implementing recruitment, employment, employee relations, compensation, and equal opportunity employment processes. Through a combination of your HR expertise and understanding of company objectives, you effectively resolve complex HR issues with a sense of urgency within a fast-paced, ever-changing environment. You are passionate about achieving organizational goals through collaboration with senior leadership and the execution of short and long-term strategies. You mitigate company risks by ensuring that all company practices are compliant with government regulations. You report to the Director of Human Resources for goals, guidance and assistance. Position benefits: • Competitive salary and yearly bonus • Health, vision and dental insurance • 100% company match 401(k) up to 6% • Company funded Retirement Accumulation Plan - Additional 3% of eligible earnings • Education assistance • Pretax childcare spending account • Paid holidays, vacation days, personal days and sick days • Employee discount on spectrum services where available What you will do: • Focus on improving business results by collaborating with and supporting clients in the area of talent management and development for both leaders and individual contributor employees • Provide strategic business partnership, thought partnership and coaching to all levels of the organization • Promote a positive work culture by overseeing all aspects of employee relations and ensuring that company policies are administered fairly and consistently • Boost staff performance and meet leadership’s changing needs through collaboration with clients to understand business challenges and ensure effective and timely HR support • Minimize risks by managing and maintaining legal compliance with company and regulatory agency requirements and adhering to local, state and federal employment laws • Assist client groups in the effective execution of goal setting and performance management, including the yearly performance review, and the compensation management program. • Accurately process HR Transactions in PeopleSoft, and be intimately familiar with data-mining and reporting from the PeopleSoft system • Conduct investigations and address issue escalations, including EthicsPoint claims follow-up • Manage specific new hire processes with employees including I-9 Administration Required Keys for Success: • Five or more years of Human Resource Business Partner or Senior Human Resources Business Partner experience in a multi-location environment • History of effectively planning, managing and leading projects through to conclusion • Track record of speaking in public and interacting with employees and leaders in a professional manner, while maintaining business and client confidentiality • Proven prioritization and organizational skills with the ability to make decisions and resolve issues while working under pressure • Ability to work independently with a sense of urgency and show sound judgment and initiative to accomplish job duties • Advanced knowledge of state, local and federal employment laws, procedures, federal wages and hourly laws • In-depth understanding of recruitment trends and employment practices • Knowledge of employee relations, procedures and applicable laws. • Proficient in Microsoft Office Word, Excel, PowerPoint, Outlook, and WebEx video conferencing and presenting • Effective written and spoken English communication skills with all levels of an organization How You Will Stand Out from the Crowd: • Demonstrated skill in data-gathering and analysis, with additional skill is distilling information down to the data-story and being able to concisely and clearly tell that story • Project management skills in owning projects and directing the activity of peers that ensure projects move forward towards conclusion • Strong skills in PeopleSoft and the Visier PeopleSoft Presentation tool Your Education: • Bachelor’s degree in human resources, business, organizational behavior or a related field, or an equivalent combination of education, training and experience (required) • Master’s degree in a related field (preferred) • Human resource professional certifications (preferred) – PHR, SPHR, ASA, CEBS, CPLP, CCP Get to Know Us Charter Communications is known in the United States by our Spectrum brands, including: Spectrum Internet®, TV, Mobile and Voice, Spectrum Networks, Spectrum Enterprise and Spectrum Reach. When you join us, you’re joining a strong community of more than 93,000 individuals working together to serve more than 32 million customers in 41 states and keep them connected to what matters most. Watch this video to learn more. Who You Are Matters Here We’re committed to growing a workforce that reflects our communities, and providing equal opportunities for employment and advancement. EOE, including disability/vets. Learn about our inclusive culture.The ideal candidate will support the full scope of Human Resources responsibilities and partner with the organization on strategic initiatives. They will maintain and enhance the organization's human resources by planning, implementing, and evaluating human resources policies, programs, and practices. Responsibilities Recruit and Onboard new hires Conduct performance management and provide feedback Manage Payroll and benefits for employees Qualifications Bachelor's degree or relevant experience 5+ years' experience in Human Resources Strong recruiting and demonstrated ability to improve talent acquisition strategies Demonstrated expertise training managers and employees Strong organizational, critical thinking and communications skills Attention to detail and good judgement","Austin, TX 54 applicants",
https://www.linkedin.com/jobs/view/mgr-program-management-at-charter-communications-3374505396?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=S55U4YWUn0ZKwbx8vPA3dQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,2 days ago,"Mgr., Program Management","JOB SUMMARY Responsible for establishing project management standards and for overseeing Project Management staff, who are in turn responsible for project execution and delivery on a daily basis. Responsible for strategic development and implementation of assigned programs of work. MAJOR DUTIES AND RESPONSIBILITIES Actively and consistently support all efforts to simplify and enhance the customer experience. Exceptional written and verbal communication skills. Able to deep dive on an issue to clearly understand all facts and then synthesize key points into executive level updates in a variety of communication medium Able to delegate work, establish escalation methods, and operate at scale to serve as an enabler for a team of people to contribute at a high level Change leader, able to help set and establish a positive culture and serve as a change agent within a broader organization Able to build effective relationships. Able to jump into situations with new stakeholders and bring poise to gather information, explain a factual update, or de-escalate a problem By quickly putting people at ease and establishing relationships the individual should be able to influence outcomes and decisions without positional authority Well organized and highly adept at follow-through. Able to manage a number of concurrent programs with supporting project/program managers and business analysts, taking executive-level action items and next steps from many concurrent threads and following through to completion. Similarly able to follow-up and drive work with other teams to make sure key follow-ups are occurring Attention to detail in their own work and also when learning and coming up to speed on a diverse set of areas. Whether policy, operational methods, system functionality, data analysis – comfortable learning and operating in any realm Breadth of perspective: Able to look at an issue not only from the facts of how a system works or what a policy says, but also consider how that behavior will impact a customers’ experience or the amount of work it may cause for downstream teams beyond their own. Ability to think about issues from the perspective of others Manages project staff results by coaching, counseling, and disciplining employees Plans, monitors, and appraises job results. Responsible for performance review and monitoring continuous improvement plans Recruits, hires, trains and manages department staff. REQUIRED QUALIFICATIONS Skills/Abilities and Knowledge Ability to read, write and speak the English language to communicate with co-workers, customers, and external company personnel in person, on the phone, and in writing in a clear, straight-forward, and professional manner Ability to work independently Ability to supervise and motivate others Ability to prioritize, organize and handle multiple projects and tasks simultaneously Excellent interpersonal skills with a can-do attitude, diplomatic approach, confidence and comfort around peers and leadership team Excellent interpersonal skills Excellent written and verbal communication skills. Ability to establish rapport, define expectations and gain commitment to project goals and deliverables Ability to develop strong relationships with cross-functional teams Ability to manage multiple initiatives simultaneously and independently Ability to translate and synthesize data and complex information into compelling narrative Ability to make decisions and solve problems collaboratively while working under pressure Proficiency with personal computer and software applications Education Bachelor's degree in computer science, information systems, business administration or related field, or equivalent experience Project Management certification or successful completion of a recognized project management curriculum is preferred Related Work Experience Number of Years Project management 5+ Management experience 2+ WORKING CONDITIONS Office environment Flexibility to work extended hours 10-15% travel","Stamford, CT",
https://www.linkedin.com/jobs/view/principal-engineer-at-charter-communications-3365887319?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=F8EHhtLk6t%2FARcG4S60tBg%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,Hace 1 semana,Principal Engineer,Become part of a growing data management team. We are looking for a senior level Splunk engineer. Multiple locations to choose from. Apply online: https://jobs.spectrum.com/search-jobs/324438BR/4673-14710/1?glat=40.712799072265625&glon=-74.00589752197266,"Greenwood Village, Colorado, Estados Unidos",
https://www.linkedin.com/jobs/view/project-manager-at-charter-communications-3346534241?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=z30xPAqwsais5RQiFevgeg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,3 weeks ago,Project Manager,"JOB SUMMARY Responsible for managing, planning, monitoring and reporting on key projects from conception through implementation. Performs a variety of tasks. Manages project details, data collection, reporting and communication to successfully drive project efforts. MAJOR DUTIES AND RESPONSIBILITIES Plans, manages, and monitors projects from concept through implementation for projects. Manages day-to-day operational aspects of all assigned projects and gains consensus from stakeholders to ensure successful implementation. Establishes project management processes and methodologies to ensure assigned projects are delivered on time, within budget and meet high quality standards and Leadership expectations using the appropriate tools. Meets with internal customers of an assigned project to provide status updates and reports and gather project-related feedback. Responsible for handling multiple projects simultaneously. Tracks costs and performance, service levels and other metrics required to ensure project goals and objectives are met. Performs other duties as requested. REQUIRED QUALIFICATIONS Skills /Abilities and Knowledge Ability to read, write and speak the English language to communicate with employees, customers, suppliers, in person , on the phone, and by written communication in a clear, straight-forward, and professional manner Ability to prioritize and organize effectively and manage multiple projects and assignments Ability to develop strong working relationships with peers and project members Excellent critical thinking skills Proven ability to perform effectively in a fast-paced environment Knowledge and ability to use computer and software applications Ability to analyze and interpret data Customer Service experience – Residential or SMB Project Management experience Cross-functional program management experience Education Bachelor’s degree in related field or equivalent work experience Project Management certification or successful completion of a recognized project management curriculum preferred Preferred: Cable experience Employee testing experience Business requirement writing experience Agile Project Management tool experience Related Work Experience - Number of Years Project management 2-5 Cable experience preferably video 2-5 New Product Testing 2 Self Help Experience 2 WORKING CONDITIONS Office environment Some travel required","Stamford, CT",
https://www.linkedin.com/jobs/view/salesperson-at-charter-communications-3377219221?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=9nBQd%2F2zjKBye37BDljScQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,6 days ago,Salesperson,"* Ready to thrive in fast paced environment. * Engaging interpersonal skills. *A passion to succeed and a strong personal drive to sale perspective customer. * A valid drivers license, car insurance. * Must be able to work evenings and weekend. * Able to work independently with little to no supervision. * Able to travel including (inclement weather ) to and from assigned territory. * Bilingual is a Plus+","Brooklyn, NY",
https://www.linkedin.com/jobs/view/senior-manager-hr-program-management-at-charter-communications-3343525364?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=Cxh468Hdxi6veLA2qzYcrQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,3 weeks ago,Senior Manager HR Program Management,"JOB SUMMARY The Sr Manager, HR Program Management will be responsible for leading multiple project work streams for the HR Business Partners who support the Corporate functional groups. This individual will work closely with the Corporate HRBP Leadership Team to tell the talent story and ensure critical programs are executed in support of key initiatives. Responsibilities include managing, planning, collaborating and monitoring critical corporate HR programs (Performance Management, Learning, Recruiting, Talent Planning, etc.) from conception through implementation. They will lead all HR reporting & analytics for the Corporate functions. MAJOR DUTIES AND RESPONSIBILITIES Actively and consistently support all efforts to simplify and enhance the customer experience Work closely with leadership to assist in the development and maintenance of a clear and comprehensive overall program plan Collaborate/communicate with stakeholders to understand their needs, provide status updates and propose solutions. Set project timelines, goals and uses an innovative approach to deliver impactful and sustainable results Create project status updates through executive-ready presentations In partnership with COE’s, oversee tracking and reporting of key objectives and results Design and maintain ad hoc and standard reports for ongoing business needs & program support. Develop reports, prepare analyses and make predictions based on data and analysis. Prepare recommendations for decisions based on data and analysis. Visualize and report data findings creatively in a variety of visual formats that appropriately provide insight to users. Provide effective and timely communication while maintaining strong relationships with key stakeholders, leaders and boundary partners with minimal direction Perform other duties as requested REQUIRED QUALIFICATIONS Required Skills/Abilities and Knowledge Ability to read, write, speak and understand English Ability to communicate with co-workers, customers, and external company personnel in person, on the phone, and in writing in a clear, straight-forward, and professional manner Ability to work independently Ability to supervise and motivate others Ability to prioritize, organize and handle multiple projects and tasks simultaneously Demonstrated interpersonal skills with a can-do attitude, diplomatic approach, confidence and comfort around peers and leadership team Demonstrated interpersonal skills Demonstrated written and verbal communication skills. Ability to establish rapport, define expectations and gain commitment to project goals and deliverables Ability to develop strong relationships with cross-functional teams Ability to manage multiple initiatives simultaneously and independently Ability to translate and synthesize data and complex information into compelling narrative Ability to make decisions and solve problems collaboratively while working under pressure Ability to use personal computer and software applications Required Education Bachelor's degree in computer science, information systems, business administration or related field, or equivalent experience Required Related Work Experience and Number of Years Human Resources or related field 3+ Project Management 6-7 Preferred Education Project Management certification or successful completion of a recognized project management curriculum WORKING CONDITIONS Office environment Travel as required Get to Know Us Charter Communications is known in the United States by our Spectrum brands, including: Spectrum Internet®, TV, Mobile and Voice, Spectrum Networks, Spectrum Enterprise and Spectrum Reach. When you join us, you’re joining a strong community of more than 93,000 individuals working together to serve more than 32 million customers in 41 states and keep them connected to what matters most. Watch this video to learn more. Who You Are Matters Here We’re committed to growing a workforce that reflects our communities, and providing equal opportunities for employment and advancement. EOE, including disability/vets. Learn about our inclusive culture.","Stamford, CT",
https://www.linkedin.com/jobs/view/senior-manager-human-resources-at-charter-communications-3351675638?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=BzBmbm28kFt9n44ctw%2BJpg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,3 weeks ago,Senior Manager Human Resources,"JOB SUMMARY As the HR Business Partner for Charter’s Human Resources leadership at the Director level and above across the enterprise, the Senior Manager will help identify, build and implement improvement initiatives. They will partner with HR leaders across the various business units to support and implement effective short term strategies to attain organizational objectives. Combines HR mastery and industry knowledge to appropriately evaluate and resolve complex HR issues within a fast paced and dynamic business environment. Often viewed as a strategic business partner and change agent. The successful candidate will be strategic, creative and excel at implementation and operational precision. The individual will be energized by working on varying initiatives related to HR development, process, talent and employee relations and will bring energy, creativity and an eagerness to learn. In addition, the position will collaborate with HR leaders across the organization to develop creative solutions, resolve issues and partner to achieve success. MAJOR DUTIES AND RESPONSIBILITIES Responsible for support of a geographically dispersed employee base of HR leaders at the Director level and above. Create, implement and enhance consistent practices to ensure stable service delivery aligned with company initiatives and expectations. Understand the business challenges and to ensure effective and timely HR support Become familiar with business unit and local procedures to ensure compliance with Company and regulatory agency requirements Ensure legal compliance with all applicable local state and federal employment laws, including but not limited to FLSA, FMLA and ADA, and AA to minimize risk/exposure to the company Participate in recruiting and onboarding process ensuring compliance with EEO, FCC and Affirmative Action; design and implement employee retention strategies Oversee all aspects of employee relations to include investigations; ensure Company policies are administered fairly and consistently. Provide consultative support to leaders Provide guidance to ensure the integrity of the performance management program and the development of employees Manage organizational change Participate in enterprise wide taskforce initiatives Monitor processes and ensure accurate maintenance of employee files and HRIS database Review and oversee unemployment and workers compensation claims Possess comprehensive knowledge of employee benefit programs Partner with business leaders to evaluate the organization's future workforce needs in order to recommend changes to the HR strategy and adapt existing HR programs to meet these needs. Ensure the HR strategy is implemented effectively, within budgets, and complies with all regulations, laws and employment standards. Perform other duties as required REQUIRED QUALIFICATIONS Required Skills/Abilities and Knowledge Ability to think strategically and anticipate future trends, needs and expectations Ability to work independently and make recommendations and decisions autonomously Exceptional written and verbal communication skills with the ability to clearly articulate ideas and feedback in a constructive manner Ability to communicate with all levels of management and company personnel Ability to align programs, processes, and people with company strategy and culture Ability to speak in a public forum and effectively present information to management Demonstrated ability to multi-task, prioritize, and see projects through to completion Demonstrated ability to stay objective and exercise sound judgment in complex situations Ability to think creatively and critically Ability to supervise the work of others Ability to analyze and interpret data Ability to maintain confidentiality of information Ability to make decisions and solve problems while working under pressure Attention to detail and record-keeping, balanced with the ability to think strategically Proven ability to perform effectively in a fast-paced environment Proven PC skills and MS Office skills Ability to prioritize and organize effectively Ability to show judgment and initiative and to accomplish job duties Advanced knowledge of local state and federal employment laws and procedures Advanced knowledge of recruitment trends and technologies Advanced knowledge of wage and hour laws Advanced knowledge of staffing and employment practices Advanced knowledge of employee relations procedures and applicable law Required Education Bachelor's degree in related field or equivalent work experience Required Related Work Experience and Number of Years Human Resource Generalist experience in a multi-location environment - 5+ Management experience - 3+ WORKING CONDITIONS Office environment ***HYBRID Travel required Get to Know Us Charter Communications is known in the United States by our Spectrum brands, including: Spectrum Internet®, TV, Mobile and Voice, Spectrum Networks, Spectrum Enterprise and Spectrum Reach. When you join us, you’re joining a strong community of more than 93,000 individuals working together to serve more than 32 million customers in 41 states and keep them connected to what matters most. Watch this video to learn more. Who You Are Matters Here We’re committed to growing a workforce that reflects our communities, and providing equal opportunities for employment and advancement. EOE, including disability/vets. Learn about our inclusive culture.","Stamford, CT 43 applicants",
https://www.linkedin.com/jobs/view/traffic-workforce-analyst-at-charter-communications-3341959201?refId=MibbkiliPVbFtlhS%2FWwD1A%3D%3D&trackingId=nXek4g2G9SHjpQF3x0EUEQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Charter Communications,4 weeks ago,Traffic Workforce Analyst,"Job Summary The Workforce Management Analyst is responsible for analyzing call volume trends, preparing forecasts and providing scheduling recommendations for Charter contact centers. Major Duties And Responsibilities Actively and consistently support all efforts to simplify and enhance the customer experience. Develops and maintains a comprehensive forecasting and scheduling model, using Workforce Management tools to forecast call volume. Creates staffing requirements and generate work schedules for contact centers. Guide and manage indirect reporting relationships with a local Workforce Supervisors and Scheduling Administrators. Determine yearly, monthly, daily and intra-day workforce requirements by gathering data on contact center statistics, marketing campaigns, system events, etc. Coordinate and facilitate collaboration with customer care leadership, marketing, technical operations, human resources, finance, information technology, outsource partners and others to capture forecast and staff impacting activities. Manage forecast results by provide feedback, input and reporting to business partners to develop more scientific and accurate forecasting methodology. Align call demand with agent supply to achieve key performance objectives (service level, utilization, budgeting, etc.). Provide long-term forecasts to management and product owners in support of future strategic initiatives. Conduct workforce simulations to provide advice regarding the impact of business strategies within contact centers. Perform other duties as requested by supervisor. Preferred Qualifications Skills / Abilities and Knowledge Ability to read, write, speak and understand English Intermediate knowledge of Microsoft Excel Working knowledge of Microsoft Access Ability to analyze and interpret data Ability to communicate orally and in writing in a clear and straightforward manner Ability to communicate with all levels of management and company personnel Ability to handle multiple projects and tasks Ability to maintain confidentiality Ability to supervise and motivate others Ability to make decisions and solve problems while working under pressure Ability to prioritize and organize effectively Ability to show judgment and initiative and to accomplish job duties Ability to use personal computer and software applications (i.e. word processing, spreadsheet, etc.) Ability to work independently Ability to work with others to resolve problems, handle requests or situations Knowledge of cable television products and services Knowledge of Aspect eWorkforce Management or similar application (IEX, Blue Pumpkin, etc) Knowledge of database applications (SQL, Oracle, Access, etc) Education Bachelor's degree in statistics, business or related field or equivalent experience Related Work Experience 2 years of Workforce management scheduling and forecasting software 2 years of Inbound contact center experience WORKING CONDITIONS Office environment with 24-hour service capability Get to Know Us Charter Communications is known in the United States by our Spectrum brands, including: Spectrum Internet®, TV, Mobile and Voice, Spectrum Networks, Spectrum Enterprise and Spectrum Reach. When you join us, you’re joining a strong community of more than 93,000 individuals working together to serve more than 32 million customers in 41 states and keep them connected to what matters most. Watch this video to learn more. Who You Are Matters Here We’re committed to growing a workforce that reflects our communities, and providing equal opportunities for employment and advancement. EOE, including disability/vets. Learn about our inclusive culture.","Louisville, KY",
