id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=7513&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=7513&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=7513&f_CR=103644278&geoId=92000000&start=50,,,,,,
https://www.linkedin.com/jobs/view/associate-director-%E2%80%93-business-insights-remote-at-illumina-3329775069?refId=WU31GSF5AIWhrJ4VH0FKSg%3D%3D&trackingId=MQ4sPUiPMBTwx4HhPhkcDQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Illumina,2 weeks ago,Associate Director – Business Insights (Remote),"What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world changing projects, you will do more and become more than you ever thought possible. Position Summary We have an exciting opportunity for an Associate Director – Business Insights who will be focused on providing insights and analysis in the finance analytics and process excellence group. The role involves working with finance business partners to understand their business questions, perform data analysis to find answers, and translate the analysis into compelling insights for the leadership team. The candidate needs to be passionate about data and will work on many key areas of the changing business landscape. The successful candidate will drive the scale out and sustainability of the enterprise analytics environment, support forecasting and budget processes, as well as perform other business partnering and decision-support activities. The ideal skillset would include a finance and/or information systems background, Cognos TM1 expertise, Cognos Business Intelligence expertise, SAP ERP experience, strong project management and communication skills, drive, and a desire to manage people This position can be remote with some travel to San Diego 2 times per month. Responsibilities Provide business insights and answer business questions involving complex data analysis Provide analytics support for key business processes including QBRs, forecast reviews, board decks, etc. Lead a team of business insights analysts and business intelligence team Design and implement key analytics initiatives serving a wide array of cross-functional groups. Function as a business liaison and manage business operations of the team’s data science practice Create templates and dashboards for commonly used repeatable analysis in Excel / Tableau sourcing data from several data platforms (Cognos, Database, Excel, etc.) Build efficient data extracts required to support and automate data analytics and reporting deliverables. Create and maintain technical and business process documentation for solutions and workflows Development and implementation of Illumina’s Corporate Analytics strategic and tactical roadmap Supports rolling forecasting and budgeting processes, analytics, and reporting Build and maintain positive relationships with key business partners Implementation of automation and performance enhancing strategies Requirements The ideal candidate will have a background combining technical, as well as financial and analytical expertise and proficiency. Expertise with Financial Planning tools including Cognos Enterprise Planning, TM1 or similar Expertise with Business Intelligence analytic and reporting tools; including Cognos, Tableau, Power BI Expert in Excel for most used financial analysis functions (Excel automation using VBA is a plus) Database skills and/or strong Excel modeling skills, including TM1 Perspectives preferred Understanding of commercial forecasting process preferred Working proficiency with complex data from multiple data sources and building dashboards. Knowledge of relational and dimensional database structures, theories, principles, and practice. Demonstrated ability to understand new datasets and data structures. Strong interpersonal skills and proven experience in building successful partnerships with business and technical groups. Ability to work creatively and analytically in a problem-solving environment. Ability to creatively take on new challenges and work outside the comfort zone. Highly self-motivated to deliver both independently and with strong team collaboration. Experience in supporting Operations and/or Sales functional reporting is a plus. Education Typically requires 10+ years of related experience with a Bachelor’s degree or a Masters with 8+ years of related experience in Computer Science, Applied Data Science, Economics, Finance, Accounting, Business Administration, or similar field required For individuals performing work in the state of Colorado, the estimated base range for this role is: $155,000 - $202,000. Compensation decisions are dependent on several factors including, but not limited to, an individual’s qualifications, internal equity, and alignment with market data. Additionally, all employees are eligible for one of our variable cash programs (bonus or commission) and eligible roles may receive equity as part of the compensation package. We offer a wide range of benefits as innovative as our work, including access to genomics sequencing, family planning, health/dental/vision, retirement benefits, and paid time off. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",United States 116 applicants,
https://www.linkedin.com/jobs/view/associate-director-electrical-engineering-r-d-at-illumina-3382801838?refId=W8qQsKXnh0FfnB3Yx3S8wA%3D%3D&trackingId=aKi9Ej1gCaeSKIEfC6nKEQ%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card,Illumina,2 days ago,"Associate Director, Electrical Engineering (R&D)","What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of People around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world changing projects, you will do more and become more than you ever thought possible. At Illumina, we push the boundaries of innovation bringing life changing technology and products to our markets to advance human health. The Associate Director of Electrical Engineering is part of the Illumina product development team creating new industry-leading genetic analysis platforms for life sciences and clinical markets. Responsibilities Leads, mentors, coaches, and manages a high-performance team of R&D engineers to design electronics systems for Illumina’s sequencing products Develop and maintain a vision and drive forward looking initiatives including the application of state-of-the-art technologies and design approaches to prepare for future product development challenges Lead system-level design in power systems, instrument safety, compliance and diagnostics Define, document and enhance development processes and support their integration into daily design activities Works and influences across all of Illumina’s departments and sites to drive deep collaboration and build great products Requirements Demonstrated ability to successfully lead, coach, and mentor electrical engineers of various professional levels Strong organizational and communication skills, ability to build interdepartmental relationships, influence without authority Strong knowledge in analog, digital, and mixed signal circuit design Working knowledge of applicable industry standards including IEEE, ISO and NEMA Working knowledge of firmware and FPGA designs Demonstrated ability to work with ambiguous requirements, adapt and learn quickly, deliver projects within tight timelines and resource constraints Detail oriented, proactive, works independently, works well with others Education/Experience Typically requires a Bachelor’s degree and a minimum of 15 years of related experience, with 7+ years of Management experience. Typically has depth of technical knowledge in function derived from experience in non-management and middle management roles. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf","San Diego, CA",
https://www.linkedin.com/jobs/view/associate-director-it-geographic-expansion-at-illumina-3289013259?refId=j9Tefo%2FdczaO4z0o146JWQ%3D%3D&trackingId=uDqNj5MC%2BKj%2FhxdjRJH0pg%3D%3D&position=2&pageNum=2&trk=public_jobs_jserp-result_search-card,Illumina,4 days ago,"Associate Director, IT - Geographic Expansion","What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world-changing projects, you will do more and become more than you ever thought possible. Position Summary As the Associate Director IT for Geographic Expansion, you will lead large scale implementations supporting Illumina’s geography expansion strategy of new entities working across IT and business organizations. This role is expected to leverage strong technical and business acumen to guide business system needs and translate business requirements while engaging with the appropriate IT teams to meet those needs. This person will require excellent teamwork and collaboration skills to work with key stakeholders. This position will develop a menu of options in the form of a playbook to templatize the process including a sizing methodology that includes financial and effort estimates. The ideal candidate must be a skilled team leader with strong negotiation and influencing skills, be able to work across multiple time zones, handle multiple tasks in parallel, and communicate effectively with all levels of the organization. Responsibilities End to end solution design ownership for engaged programs and projects accounting for up and downstream impacts across systems with a focus on SAP systems, Salesforce, Camstar, and Teamcenter PLM. Ability to lead and facilitate solution design workshops Provide direct management and leadership to your team executing the delivery of the technical requirements Collaborate closely with the Program Manager and cross-functionally with IT and Business teams to create, execute, and communicate overall project plans (scope, schedule, staffing plans, quality, risk management, budget, and procurement) and revise them appropriately to meet changing project needs and requirements to meet organization objectives Facilitate collaboration and provide guidance across multiple IT teams and business functional teams as part of the planning, design, delivery, and management lifecycle. Develop and own the menu of options to templatize and standardize the program including work estimates, budgets, and timelines Stay current with new technologies especially within the SAP ecosystem to align technologies with business direction Engage with vendors to support delivery Ability to work across various time zones including European and Asian May require occasional travel as needed Listed responsibilities are an essential, but not an exhaustive list of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs Requirements 15 years of experience in IT and business/industry 7 years between SAP ECC or S/4 HANA with implementation experience in a manufacturing and distribution organization 7 years of diverse roles and increasing leadership responsibilities across major projects and programs Integration experience with Non-SAP and SAP environments Agile Certification (PMI-ACP) / Scrum Master (CSM) Certification preferred Experience in IT implementations of geography expansion of new entities preferred Experience with leading programs in matrixed organizations required Excellent communication, influence and documentation skills are required Self-starter with superior problem-solving, analytical and organizational skills, and a track record of high performance and superior delivery Demonstrated leadership including ability to identify key issues, motivate and empower others to address them in a way which builds morale, and generates ownership and commitment Experience/Education Bachelor’s degree in related areas and/or equivalent experience For individuals performing work in the state of Colorado, the estimated base range for this role is: $155,000 - $202,000. Compensation decisions are dependent on several factors including, but not limited to, an individual’s qualifications, internal equity, and alignment with market data. Additionally, all employees are eligible for one of our variable cash programs (bonus or commission) and eligible roles may receive equity as part of the compensation package. We offer a wide range of benefits as innovative as our work, including access to genomics sequencing, family planning, health/dental/vision, retirement benefits, and paid time off. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf","Madison, WI 30 applicants",
https://www.linkedin.com/jobs/view/associate-director-npi-sourcing-instruments-at-illumina-3320163980?refId=W8qQsKXnh0FfnB3Yx3S8wA%3D%3D&trackingId=q55DOMNFr6Vdh%2FGV6CyqjA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,Illumina,3 days ago,"Associate Director, NPI Sourcing (Instruments)","Illumina Values What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world-changing projects, you will do more and become more than you ever thought possible. Responsibilities Responsible for leading a team that coordinates supply chain activities related to all new instrument product lines and technologies Act as an interface between the category sourcing leads and engineering teams at Illumina Ensures function is represented on product development and technology module teams, leading key sourcing activities and deliverables Key focal point for all Supply Chain issues pertaining to NPI, sustaining, obsolescence and quality Accountable for managing NPI deliverables Champion sourcing initiatives early in the product development process to ensure excellence in supplier selection, components, and platform specification including the selection of strategic suppliers to drive efficiency and cost targets Integrate the Engineering, Production, and Sourcing objectives in the execution of instruments, including promoting standardization across programs for supplied product and champion sourcing initiatives early in the NPI process Work with Category sourcing leads to ensure excellence in supplier selection and component and platform specification driving supplier capability measurements for assigned programs Collaborate with engineering to ensure technology match occurs between supply partners and engineering Collaborate with manufacturing to ensure capable product and factory fulfillment requirements are met Resolves and/or directs the resolution of highly complex or unusual business challenges Frequently interacts with senior management or executive levels on matters concerning several functional areas, divisions, and/or customers Ensures availability of supply through development and commercial launch Drive KPI’s such as COGS reduction, PPV forecast accuracy, successful products launches, and E&O reduction Aware of and comply with the Illumina’s Quality Manual, Quality Management System, Quality Management Policy, Quality Goals, and applicable laws and regulations as they apply to this job type/position Complete all planned Quality & Compliance training within the defined deadlines Executes company policies and recommends methods to improve operational effectiveness Requirements Extremely strong communication, interpersonal, teamwork, planning, and organizational skills 8 plus years of work experience in manufacturing of medical devices End to end supply chain subject matter expert with proven record of championing the function so that it is understood and accepted by the business Demonstrated ability to lead and influence critical decisions with internal and external stakeholders Strong project management and business analysis skills Ability to identify, assess, resolve, and where needed, escalate risks Flexible, with strong risk and prioritization skills; ability to work effectively in a fast-paced, dynamic environment with shifting and competing demands Ability to identify areas of improvement and devise, plan and implement solutions Experience managing supply chain professionals in a dynamic environment with ability to develop capabilities of direct reports Plans, prioritizes, and assigns team objectives to achieve goals Responsible for development of key business processes and metrics Identifies, designs, and delivers training programs Proficient in the use of SAP desirable Master’s degree in engineering or technical related field, MBA preferred Lean/Six Sigma Certification preferred APICS Certification preferred Listed responsibilities are an essential, but not exhaustive list, of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf","San Diego, CA 29 applicants",
https://www.linkedin.com/jobs/view/associate-director-of-software-engineering-at-illumina-3358210185?refId=W8qQsKXnh0FfnB3Yx3S8wA%3D%3D&trackingId=cX7kWlXYzqyBQ%2FWHWh0wcA%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,Illumina,2 weeks ago,Associate Director of Software Engineering,"What if the work you did everyday could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world-changing projects, you will do more and become more than you ever thought possible. We are looking for a passionate professional to join Illumina to for clinical software development. The position is based in San Diego, California. You will work with a large group of highly motivated scientists and engineers to deliver clinical software solutions for NGS and microarray. Requirements A bachelor's degree or higher in science or engineering disciplines 3+ years' experience managing software development teams Demonstrated understanding of SDLC and agile development Experience testing and release both locally deployed and cloud-based software Demonstrated experience building software for NGS Demonstrated experience with IVD software and release; demonstrated experience taking software applications through regulatory process; demonstrated experience handling software audits High comfortability working with biology, hardware, system teams Demonstrated experience working across functions with customer support teams, excellent communication skills and energetic to work directly with customers. Expertise in web technologies, Java based tech stack, AWS Comfortability with bioinformatics integration A can-do attitude, as well as a desire to drive continuous innovation and improvement A customer-focused product development mindset Responsibilities Support clinical customers’ software needs Translate market needs to software requirements Hire and mentor junior members Own and manage the IVD software development and testing process and its updates Lead software development; represent software function in high profile programs Support on-market products At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf","San Diego, CA",
https://www.linkedin.com/jobs/view/associate-director-privacy-counsel-at-illumina-3260630215?refId=WU31GSF5AIWhrJ4VH0FKSg%3D%3D&trackingId=gAsqS1ORlR79Z%2BQCWk63Aw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,Illumina,8 hours ago,"Associate Director, Privacy Counsel","What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world changing projects, you will do more and become more than you ever thought possible. Position Summary Illumina is looking to recruit an experienced Associate Director, Privacy Counsel to provide legal guidance, strategic leadership and practical experience to support Illumina’s compliance with global privacy and data protection laws and regulations, ensure privacy-by-design is at the forefront of our approach, and to provide counsel for privacy and data-related client and contractual issues and complex data use issues under HIPAA, GDPR and other privacy regulations. The candidate's preferred location will be within a commutable distance to one of our locations in San Diego, CA, Foster City, CA or Madison, WI. Essential Duties And Responsibilities In this role, you will work closely with the Legal, Product Development, Compliance and Information Security functions to develop and monitor policies and procedures applicable to the business and in compliance with global privacy and data privacy laws and regulations. Duties will include: Counsel and collaborate with multiple internal clients across Illumina to advise on applicable data privacy law issues. Provide counsel related to advanced and cutting-edge data use as well as data mapping, classification, and related data management and governance. Partner with product leaders to develop and drive a holistic privacy strategy across Illumina’s products. Develop and implement principles and frameworks for building privacy and other responsible innovation topics into the product development process. Work with product leadership to identify, escalate, and resolve tension between product objectives and privacy principles. Help establish and direct long-term goals of product and engineering teams as they relate to privacy. Collaborate with Illumina’s IT, products and software teams to ensure all systems and procedures comply with all relevant data privacy law, regulation and policy, including in relation to the retention and destruction of data. Draft, negotiate, and interpret privacy, security and data use and protection terms in contracts and disclosures, including Data Protection Addendums and Intra Company Agreements, consistent with Illumina’s strategy and goals. Assist in maintaining onward data transfer mechanisms such as Standard Contractual Clauses and other applicable mechanisms. Review issues related to Incident Response, customer security questionnaires and security certifications. Develop and review Data Protection Impact Assessments (DPIAs) and other internal privacy and data security assessments. Review issues related to local marketing and data analytics initiatives. Collaborate with other attorneys in the Legal Department as a privacy subject matter expert. Stay abreast of, and communicate clearly to non-lawyers, changes to or developments in privacy and data protection laws and regulations and their impact on business operations. Promote effective work practices, work as a team member, and show respect for co-workers. Identify opportunities for organizational growth and drive creative and scalable improvements. Experience & Education Law degree from an ABA accredited law school with exceptional academic credentials and a member of a state bar in good standing required. Hold at least one Data Protection and/or Privacy certification such as, CIPP, CIPT, ISEB, etc., (preferred). 12+ years or relevant legal experience Experience with US and EU data privacy laws. Experience in healthcare law, particularly HIPAA, strongly preferred. 5+ years’ experience within a compliance, legal, audit and/or risk function, with recent experience in privacy compliance. Global privacy experience in a multi-national company (medical device, pharmaceutical, or healthcare preferred) or a global law firm. Experience in developing policy and compliance training. For individuals performing work in the state of Colorado, the estimated base range for this role is: $187,000 - $243,000. Compensation decisions are dependent on several factors including, but not limited to, an individual’s qualifications, internal equity, and alignment with market data. Additionally, all employees are eligible for one of our variable cash programs (bonus or commission) and eligible roles may receive equity as part of the compensation package. We offer a wide range of benefits as innovative as our work, including access to genomics sequencing, family planning, health/dental/vision, retirement benefits, and paid time off. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf",United States,
https://www.linkedin.com/jobs/view/associate-director-program-management-lab-services-at-illumina-3378647080?refId=WU31GSF5AIWhrJ4VH0FKSg%3D%3D&trackingId=8L9wnbcCQ6iATnCjOCFWkA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,Illumina,4 days ago,"Associate Director, Program Management - Lab Services","What if the work you did every day could impact the lives of people you know? Or all of humanity? At Illumina, we are expanding access to genomic technology to realize health equity for billions of people around the world. Our efforts enable life-changing discoveries that are transforming human health through the early detection and diagnosis of diseases and new treatment options for patients. Working at Illumina means being part of something bigger than yourself. Every person, in every role, has the opportunity to make a difference. Surrounded by extraordinary people, inspiring leaders, and world-changing projects, you will do more and become more than you ever thought possible. Responsibilities Develop, define, and manage a comprehensive program portfolio Improve, recommend, and implement program and project management tools Manage, develop and direct the project management organization Work with stakeholders to ensure program goals are clearly defined and in alignment with business objectives Develop framework and provide direction to deliver improvement objectives to meet business needs Manage teams to deliver plans which include resource needs, scope, budget and success metrics Ability to independently make decisions and suggest a path forward keeping the big picture in mind Ensure successful execution of program plans Track, manage and communicate progress against objectives and plan changes to team and stakeholders Define, schedule and lead reviews with governance committee Positively influence all levels of management to ensure programs receive necessary support and are sufficiently resourced Identify and resolve or escalate program issues, facilitate tradeoff decisions, manage/identify program risk and remove obstacles Proven ability to identify key issues, motivate and empower others to address them in a way which builds morale, generates ownership and commitment Manage cross-functional resources, project timelines and project budgets required to successfully drive projects and initiatives Listed responsibilities are an essential, but not exhaustive list, of the usual duties associated with the position. Changes to individual responsibilities may occur due to business needs. Requirements Bachelor's degree or equivalent in Life Sciences, Engineering, or related field PMP certification strongly preferred 10+ years managing cross-functional programs 6+ years experience direct people management experience including experience managing managers Experience in clinical/ IVD development customer satisfaction programs desirable Depth of technical knowledge in biotechnology derived from experience in non-management and middle management roles, specific experience in product development or clinical laboratory roles Sound grasp of the key business drivers and considerations in the biotech, pharmaceutical, medical device and /or life science industries Demonstrated experience leading multiple complex programs from design to delivery Strong interpersonal and facilitation skills with a proven ability to build relationships and achieve consensus across a wide range of functions Proven ability to drive operational and cultural change Self-starter with problem-solving, analytical and organizational skills Strong quantitative and qualitative skills; detail-oriented with ability to see the big picture and to work effectively at both high and detailed levels All listed requirements are deemed as essential functions to this position; however, business conditions may require reasonable accommodations for additional task and responsibilities. At Illumina, we strive to foster a diverse and inclusive workplace by cultivating an environment in which everyone contributes to our mission. Built on a strong foundation, Illumina has always been rooted in openness, collaboration, and seeking alternative views and perspectives to propel innovation in genomics. We are proud to confirm a zero-net gap in pay, regardless of gender, ethnicity, or race. We also have several Employee Resource Groups (ERG) that deliver career development experiences, increase cultural awareness, and demonstrate our collective commitment to diversity and inclusion in the communities we live and work. We are proud to be an equal opportunity employer committed to providing employment opportunity regardless of sex, race, creed, color, gender, religion, marital status, domestic partner status, age, national origin or ancestry, physical or mental disability, medical condition, sexual orientation, pregnancy, military or veteran status, citizenship status, and genetic information. If you require accommodation to complete the application or interview process, please contact accommodations@illumina.com. To learn more, visit: https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf","San Diego, CA",
