id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=2311&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=2311&f_CR=103644278&geoId=92000000&start=100,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=2311&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=2311&f_CR=103644278&geoId=92000000&start=50,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=2311&f_CR=103644278&geoId=92000000&start=75,,,,,,
https://www.linkedin.com/jobs/view/accounting-at-marriott-international-3382234908?refId=0TC32N0K7Qm%2BELWX%2FAG5Dg%3D%3D&trackingId=PNfqTw9QvF%2FmHlRPlNS0hQ%3D%3D&position=20&pageNum=1&trk=public_jobs_jserp-result_search-card,Marriott International,2 days ago,Accounting,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The Marriott International HQ, located at 7750 Wisconsin Avenue, Bethesda, Maryland, United States, 20814 is currently hiring a Dir-Accounting. Responsibilities include: Corporate Financial Accounting (“CFA”) is a headquarter-based accounting department responsible for the accounting and reporting relating to Marriott’s investment, development, joint venture, foreign exchange, debt, Environment, Social, and Governance, and international banking activities. The Director of CFA - Banking will direct a high performing team responsible for: 1) Marriott’s foreign currency accounting, including overseeing system and review controls relating to foreign currency transactions and translations, recording foreign currency derivatives, monitoring foreign currency exposures, and reporting; 2) Marriott’s debt accounting, including budgeting, forecasting, reporting, covenant monitoring; and 3) Marriott’s international cash, including reporting, monitoring, and system review of the treasury management system. The highly visible position will play a key role in partnering with multiple stakeholders throughout the organization to ensure the accurate and timely delivery of department deliverables. This position reports to the VP, CFA, and is a key member of the CFA leadership team. CLS Expected Contributions and Responsibilities Direct a team of finance and accounting professionals, prioritize projects and workload of the team and its individual members, establish and monitor workflow protocols, and manage multiple deadlines around the following department priorities: Foreign Exchange Accounting & Reporting: Ensure enterprise-wide proper accounting for foreign transactions, including financial statement translation and foreign currency transactions. Evaluate foreign currency hedging transactions to determine appropriate accounting treatment. Perform qualitative reviews of the Marriott business model to identify foreign currency exposures and provide actionable data to key stakeholders so that appropriate hedging strategies against exposed positions may be pursued. Analyze foreign currency activity included in Marriott’s financial results to ensure consistency with expectations relative to Marriott’s exposed foreign asset and liability position. Maintain and enhance periodic reporting of foreign exchange activity to key stakeholders, including senior management. Ensure external reporting (10K, 10Q) disclosures related to foreign exchange, derivatives and hedging are completed in an accurate, timely manner. Determine the proper functional currency of international subsidiaries and branches. Maintain systems and controls to ensure compliance with MIP-66 reporting and reconciliation requirements relating to foreign exchange and foreign currency hedging. International Cash Management: Partner with Corporate Treasury to ensure efficient and effective use of international cash and currency management systems. Collaborate with Corporate Treasury, Corporate Tax, and Finance Business Partners to identify foreign cash repatriation opportunities and establish related procedures and protocols. Monitor and control international cash concentration mechanisms. Manage the foreign bank account reconciliation process, including bank reconciliation control report. Partner with internal and external stakeholders to ensure proper recording of cash activity Support continents with the maintenance and use of the Treasury Workstation (Kyriba) Maintain global account and reporting structures for cash, including system rules. Maintain systems and controls to ensure compliance with MIP-66 reporting and reconciliation requirements relating to cash accounts. Debt Accounting & Reporting: Direct the debt reporting process, ensuring understanding and proper interpretation of debt documents and interest rate swaps, identification of new debt, and establishment and maintenance of requisite amortization tables. Manage debt covenant analysis, ensuring proper level of sensitivities to exposures. Ensure external reporting (10K, 10Q) requirements related to debt and required disclosures are completed in an accurate, timely manner. Maintain the accurate and timely payment of debt service, fees, and other financing costs on corporate debt. Review and maintain accurate budgets and forecasts for interest expense and debt activity for both the P&L and cash flow forecasts Ensure debt-related activity (interest expense, repayments, borrowing) is reflected properly from a cash flow perspective. Maintain systems and controls to ensure compliance with MIP-66 reporting and reconciliation requirements relating to debt and related interest accounts. Skill RequirementsFosters relationships and a positive climate to build effective teams that are committed to organizational goals Creates a customer service orientation within the organization by developing and maintaining effective customer relationships Supports and manages organizational change by reacting with flexibility, removing work barriers Initiates creative process improvements and systemic thinking throughout the organization Demonstrates sound organizational and prioritization skills; high performance levels under tight deadlines Strong verbal and written communication skills; ability to communicate with various levels of the organization and with outside service providers Strong quantitative and qualitative analysis skills Actively pursues learning and self-development to enhance personal and professional growth Specific Candidate Profile BS/BA in Accounting, Finance or related discipline; CPA, MBA or advanced degree in Accounting or Finance preferred Eight or more years of progressive job experience in accounting/finance field; significant international finance, accounting, or treasury exposure a plus Proven contribution within a multi-task environment Experience with leading and implementing proactive process improvements Marriott International is consistently recognized as an employer of choice globally by FORTUNE magazine, DiversityInc and Great Places to Work Institute, among others. Chat, engage and follow us on social media. | Facebook | Twitter | LinkedIn | Instagram Visit www.marriott.com/careers to learn more about our workplace culture and career opportunities. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.","Bethesda, MD",
https://www.linkedin.com/jobs/view/accounting-systems-analyst-sr-at-marriott-international-3370980582?refId=B5%2FN5N4seTngzgfM5BP59Q%3D%3D&trackingId=aBOjfFLHAO4m%2BWP4X5Ht3A%3D%3D&position=18&pageNum=3&trk=public_jobs_jserp-result_search-card,Marriott International,1 week ago,Accounting Systems Analyst-Sr,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The Marriott International HQ, located at 7750 Wisconsin Avenue, Bethesda, MD, 20814 is currently hiring a Accounting Systems Analyst-Sr Responsibilities include: As a member of the Global Design Systems business support team, the Sr. System Analyst, Global Design Applications Business Support will contribute to the functional and technical support of the systems used by Global Design (ReMAP, PCDW, Mosaic, MarrTool, Concur, etc.). She/he will: Provide recurring and non-recurring application support services. Troubleshoot and help resolve moderate to complex application and process issues impacting the business. Provide report, query development, testing, implementation, maintenance and analysis guidance and support; and Support applications upgrades/enhancements. EXPECTED CONTRIBUTIONS Execute the more complex elements of day-to-day production support, system maintenance and configuration activities (e.g., batch process administration and monitoring; tier 2 or 3 end-user support; metadata export/refresh). Complete general ledger configuration and master data maintenance activities (e.g., allocations, chartfields, trees, combination edits, run controls, journal sources, etc.). Work collaboratively and directly with the business and IR to understand and translate business needs and develop appropriate solutions. Participate in the analysis, development, test, and implementation of new configuration specifications to align with business requirements. Lead efforts to implement systems enhancements and upgrades. Develop systems and process documentation, and end-user training and support materials for the Global Design applications. Serve as an escalation point of contact for software and hardware issues in Global Design. Troubleshoot, identify, and implement technical fixes for product issues, integration issues, data discrepancy and business reporting. Execute configuration / creation of dashboards, reports. Ability to communicate technical information to a non-technical audience. Proficiency in advance MS Excel, MS Macros, Pivot tables and is required. Experience with creating reports and queries utilizing relational database (SQL) Experience defining business requirements and then creating, implementing, and maintaining financial models and templates. Experience with PeopleSoft reporting technologies such as BI Publisher, SQR and Peoplesoft Query Manager and Query writing. Other duties as assigned to meet business needs. CANDIDATE PROFILE Key Talents and Experience Minimum 4 years financial applications management and/or financial accounting management experience. Experience with PeopleSoft Financials or Procurement modules required. Knowledge of reporting data warehouse preferred. Knowledge of generally accepted finance and accounting policies, principles, and controls. General knowledge of Marriott and administrative accounting and reporting processes and systems preferred. Strong qualitative and quantitative analytical skills; ability to take large volumes of complex information and present it in a clear and concise manner. Operates with a collaborative mindset to ensure that key stakeholders are considered, builds relationships to leverage information and insights; communicates well with stakeholders; openly shares and does not withhold information. Strong interpersonal skills: able to maintain effective relationships, both internally and externally with a broad group of stakeholders to foster trust. Ability to work effectively in a collaborative work environment. Communicates effectively, both orally and in writing; listens to others and effectively comprehends information. Responsive; able to integrate and balance priorities, work activities and resources for the benefit of multiple key stakeholders. Results oriented; able to work both independently and as part of a team. Must have hands on experience doing root cause analysis from application logs, identifying sources of data discrepancies and ways to resolve them. Supports change within the organization. Education and Professional Certification 4-year degree in Accounting, Finance, Information Systems, or related field. LOCATION This position will be based at MI Corporate Headquarters. Marriott International is consistently recognized as an employer of choice globally by FORTUNE magazine, DiversityInc and Great Places to Work Institute, among others. Chat, engage and follow us on social media. | Facebook | Twitter | LinkedIn | Instagram Visit www.marriott.com/careers to learn more about our workplace culture and career opportunities. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.","Bethesda, MD",
https://www.linkedin.com/jobs/view/analyst-business-cluster-services-at-marriott-international-3375237867?refId=%2FIRl4hI92B7rX06teDs3%2BQ%3D%3D&trackingId=OM1T3gwOBT8ik3JfaY8gFQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,Marriott International,1 week ago,Analyst-Business-Cluster Services,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The SpringHill Suites St. Louis Brentwood, located at 1231 Strassner Dr, Brentwood, MD, 63144 is currently hiring a Analyst-Business-Cluster Services, US & Canada. Responsibilities include: As a member of the Americas Finance team, the Business Analyst will report to the Senior Finance Manager, Cluster Services-Sales in the Business Finance & Administration & Cluster Services group and will provide project management, analysis and financial expertise to support the day-to-day financial and operational management of the team in the area of Cluster Service accounting, reporting, processes, and controls. The primary focus of this position is providing accounting administration support, analysis and true-up support for the Cluster Service model for the Sales discipline in the division, with a focus on the following: Support Monthly Close process and prepare journal entries Provide support for the budget for all Sales units in the Cluster model Provide support to manage the systems allocations effecting the Cluster Service units Develop periodic measurements, trends, working capital analysis, productivity reports, etc. Provide ad hoc analyses to support the Cluster Services team. Ensure compliance with MIP-44 Reconcile balance sheet accounts and conduct P&L reviews Perform general ledger processing and provide reports This person will focus on Cluster Services for the Sales discipline; however, he/she may also perform duties that relate to other disciplines as well, as business needs require. EXPECTED CONTRIBUTION Record and process transactions accurately and timely. Review units’ general ledgers during period close with Cluster leaders to ensure reasonable and accurate. Provide support/reviews and critiques period results. Conducts asset and liability reconciliations. Prepare JE''s related to Units (includes all standard period close entries as well as any re-classes & charge outs) Review Profit and Loss Statements for accuracy Review expense reports; prepares JE''s & OFB as needed Reconcile Balance Sheet accounts in accordance with SOPs and prepare for quarterly review. Provide accounting support for annual forecasting/budget process for units under his/her responsibility which includes preparation of detail forecast/budgets, and allocations. Ensure P&L are accurate; costs are recorded properly and statements distributed to the appropriate stakeholders in a timely manner. Partner with Cluster Unit leaders and other stakeholders to ensure compliance with MIP-44. Ensure all assets are recorded and depreciated in the appropriate units and in accordance with Corporate policy. Support a strong accounting and operational control environment to safeguard assets, improve operations, profitability and mitigate risk. Prepare and process quarterly true-ups and bonus submissions, when applicable. Publish results to stakeholders in timely manner. Execute a robust participant tracking and forecasting routine for Sales Units in Cluster Services Provide support for budget process Provide data in a timely manner to update the Owner Financial website for financial reports and information Execute control processes established for Cluster Services Create or utilize reports to assist in proactively monitoring financial control environment for Sales Units in Cluster Services. Prepare reporting and analysis for Cluster Service participants across the division, across all brands on a monthly/period/quarterly basis (e.g. roll-ups, exception reporting), and provide ongoing analytical support to our key stakeholders in the continent: Perform ad-hoc analyses for and/or provide information to Americas Finance, Cluster Unit leaders, and other associated groups on the business environment and key operating issues within the discipline. Work with other Cluster Service team members on major department deliverables to ensure overall success of the team. CANDIDATE PROFILE BS/BA in accounting, finance or related field. 4+ years of relevant accounting/finance experience. Marriott experience as a hotel Assistant Director of Finance a plus Thorough knowledge of the principles, procedures, and techniques of accounting, and of financial records and transactions including, but not limited to, generally accepted accounting principles Strong communications (verbal and written), organization and presentation skills Proficient knowledge of Excel required Knowledge of operating procedures, controls and governances Ability to leverage resources in the accomplishment of objectives Exceptional organizational skills. Effective in prioritizing work and following through on commitments. Project management skills Excellent interpersonal skills. Ability to work with and communicate effectively with all levels of management Effective decision-making skills, can choose a prompt course of action amongst options involving uncertainty or risk Strong problem-solving skills; encourages innovative solutions when appropriate Ability to develop and maintain effective relationships with both internal and external customers. Collaborative approach with market teams and business partners Effective change management skills Actively pursues learning and self-development to enhance personal and professional growth; shares knowledge and expertise with others High degree of initiative and ability to work effectively in teams or independently Experience rolling out change initiatives within the organization LOCATION This position may be based at Corporate Headquarters or remote. Marriott International is consistently recognized as an employer of choice globally by FORTUNE magazine, DiversityInc and Great Places to Work Institute, among others. Chat, engage and follow us on social media. | Facebook | Twitter | LinkedIn | Instagram Visit www.marriott.com/careers to learn more about our workplace culture and career opportunities. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.",United States 67 applicants,
https://www.linkedin.com/jobs/view/assistant-director-of-human-resources-at-marriott-international-3379257631?refId=0TC32N0K7Qm%2BELWX%2FAG5Dg%3D%3D&trackingId=I3eU67t67aHwCmOid%2FHpNQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card,Marriott International,4 days ago,Assistant Director of Human Resources,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The Ritz-Carlton Portland, located at 900 SW Washington Street, Portland, OR, 97205 is currently hiring a Assistant Director of Human Resources. Responsibilities include: Assists the Director of Human Resources in executing strategies that serve to attract, retain, and develop diverse premiere talent. Position directs and works with human resource employees to carry out the daily activities of the Human Resource Department, including recruitment, total compensation, employee relations, and training and development. Executes against objectives outlined in the Human Resources Business Plan and delivers services that meet or exceed the needs of employees and enable business success. Ensures compliance with applicable regulations and Standard Operating Procedures. CANDIDATE PROFILE Education and Experience • High school diploma or GED; 4 years experience in the human resources, management operations, or related professional area. OR • 2-year degree from an accredited university in Human Resources, Business Administration, or related major; 2 years experience in the human resources, management operations, or related professional area. CORE WORK ACTIVITIES Managing the Staffing and Recruiting Process • Ensures open positions are advertised in appropriate venues to attract a diverse candidate pool. • Ensures the open position listing is in a visible location for both internal and external candidates. • Works with Employment Administrator to establish and maintain contact with external recruitment sources (e.g., state job service, local colleges, recruiting agencies, and community based organizations). • Networks with local organization and peers to source candidates for current or future openings (e.g., Hotel Association). • Facilitates interdepartmental transfers and promotions and transfers or promotions to other properties within this property brand. • Oversees the selection and offer processes for hourly employees to ensure proper procedures are followed (e.g., valid reasons for selection/non-selection are documented, applicants receive status notifications). • Partners with department managers and recruiting professionals to recruit management positions, make hiring decisions and negotiate job offers in accordance with SOPs. Managing Legal and Compliance Practices • Ensures compliance with key policies (e.g., Sexual Harassment, Non-Harassment, Non-Discrimination, No Solicitation). • Ensures interviews are conducted according to recommended guidelines, consistent screening criteria is used, and only job-related questions are asked. • Ensures wages are paid in accordance with Standard Operating Procedures and federal and state laws (e.g., employee pay for meeting attendance, wages limited to maximum rate of pay, entry level rates paid to new hires, overtime provisions in place, separation pay). • Ensures drug screening and background checks are completed in accordance with brand''s Standard Operating Procedures. Managing Benefits Education and Administration • Manages Workers Compensation claims to ensure appropriate employee care and costs management. • Educates employees on benefits package. • Educates HR team on the various types of benefits available and eligibility requirements. • Provides an overview of employee benefits to the management team enabling them to educate their employees and answer routine questions. • Ensures that department has the available resources on hand to administer employee benefits. Managing and Conducting Staff Development Activities • Ensures hourly performance appraisal processes are in place. • Assists in identifying key drivers of employee satisfaction and supports managers in addressing issues with written plans and actions. • Coaches managers on progressive discipline process. • Ensures development plans are in place (e.g., goals documented, progress towards goal achievement is measured). Managing Employee Relations and Human Resources Communication • Utilizes an “open door” policy to address employee problems or concerns in a timely manner. • Ensures effective employee communication channels are established and active in. • Analyzes accident trends and reports these trends to the management team. • Monitors work environment for signs of union organization. Marriott International is consistently recognized as an employer of choice globally by FORTUNE magazine, DiversityInc and Great Places to Work Institute, among others. Chat, engage and follow us on social media. | Facebook | Twitter | LinkedIn | Instagram Visit www.marriott.com/careers to learn more about our workplace culture and career opportunities. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.","Portland, OR",
https://www.linkedin.com/jobs/view/assistant-event-operations-manager-at-marriott-international-3375253167?refId=%2FIRl4hI92B7rX06teDs3%2BQ%3D%3D&trackingId=7gV2toTi4UfT%2FZSYuDEAyw%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,Marriott International,1 week ago,Assistant Event Operations Manager,"Live Fully at Marriott International – #1 Leader in Hospitality At Marriott International, you have the opportunity to grow in your career, work with teammates that feel like family, and help make our world a better place. The Houston Marriott West Loop by The Galleria, located at 1750 W Loop S, Houston, TX, 77027 is currently hiring a Assistant Event Operations Manager. Responsibilities include: Communicates service needs to chefs and stewards throughout functions. Totals charges for group functions, and prepares and presents checks to group contacts for payment. Verifies banquet rooms, restaurants, and coffee breaks are ready for service. Verifies proper centerpieces are displayed on every table. Inspects the cleanliness and presentation of all china, glass, and silver prior to use. Checks in with guests to verify satisfaction. Sets tables according to type of event and service standards. Communicates additional meal requirements, allergies, dietary needs, and special requests to the kitchen. Maintains cleanliness of work areas throughout the day. Supports compliance with brand standards and legal obligations. Supports and leads shift teams to provide consistent, high quality service. Coordinates and leads daily stand-up meetings, pre-shift meetings and pre and post-meal briefings. Communicates performance expectations and trains staff in processes. Assists more senior managers in completion of financial and administrative duties. Strives to continually improve guest/event and employee satisfaction and maximize financial performance. CANDIDATE PROFILE Education and Experience • High school diploma or GED or 2-year degree from an accredited university in Hotel and Restaurant Management, Hospitality, Business Administration, or related major; 2 years experience in food and beverage, culinary, guest services, front desk, housekeeping, or related professional area. OR • If no standard educational background, at least 3 years of experience in two of the following areas of hospitality to include food and beverage, culinary, guest services, front desk, housekeeping, or related professional area. Preferred • Experience running a shift, scheduling, Performance Manage PAF''s, Problem Solving, Running Day-to-Day Operation, Hospitality Skills. CORE WORK ACTIVITIES Management of Event Operations associated with Banquets, Event Services • Verifies meeting and event rooms/space are set according to event documentation (Banquet Event Orders, resumes, etc.) and customer requirements. • Leads shifts and actively participates in the servicing of events. • Adheres to and reinforces all standards, policies, and procedures (Core Deliverables, SOPs, LSOPs, etc.). • Assists in maintaining the inventory of function room amenities (e.g., pads, pens, candy, water service) and other controllable supplies. • Attends and participates in all pertinent meetings (e.g., Daily Stand Up, BEO, Staff, Forecast, Department and Intradepartmental). • Attends pre-event/pre-convention meetings as needed to understand group needs. • Communicates critical information to the Banquet, Event Services and Event Technology teams. • Conducts room function inspections prior to each event to ensure the room is set according to specifications. • Delegates tasks to ensure room sets are ""on time"" and meet Event Management Standards. • Verifies employee awareness of the event phase portion of the Event Satisfaction Survey and Guest Satisfaction Scores. • Maintains attendance log for Banquet, Event Service and Event Technology employees. • Manages departmental inventories and assets including par levels and maintenance of equipment. • Orders supplies for the department (e.g., china, glass, silver, buffet equipment, and other service equipment needs). • Schedules Banquet and Event Service staff to forecast and service standards, while maximizing profits. • Utilizes banquet beverage tools to guide banquet beverage supervisor in controlling liquor costs, managing the banquet beverage perpetual inventory and requisitioning liquor. • Practices and executes brand specific meeting services program per Brand Standard (Redcoat Program, PlumPerfect Program, etc.) • Assists with the Event Technology/Audio Visual team when necessary in order to ensure customer satisfaction. • Works with Event Planning team to verify flawless delivery of events. Leading Teams in Day-to-Day Activities Holding Teams to High Work Standards while Modeling those Standards • Verifies knowledge and understanding of OSHA regulations are up to date. • Creates and nurtures a hotel environment that emphasizes motivation, empowerment, teamwork, continuous improvement and a passion for providing service. • Participates in department meetings by communicating a clear and consistent message regarding the departmental goals to produce desired results. • Participates in the development and implementation of corrective action plans. Providing Exceptional Customer Service • Encourages employees to provide excellent customer service within guidelines. • Handles guest problems and complaints, seeking assistance from manager as necessary. • Interacts with guests to obtain feedback on product quality and service levels; effectively responding to and handles guest problems and complaints seeking assistance from manager as necessary. • Meets and greets guests. • Understands the impact Banquet, Event Service and Event Technology operations has on the overall success of an event and manages activities to maximize customer satisfaction. Assisting in Human Resource Activities • Identifies the developmental needs of others and coaches, mentors, or otherwise helps others to improve their knowledge or skills. • Participates in the employee performance appraisal process, assisting with the completion of annual performance reviews. • Supports training when appropriate. • Assists as needed in the interviewing and hiring of employee team members with the appropriate skills. • Schedules employees to ensure shift coverage and meet business demands and productivity goals. Marriott International is consistently recognized as an employer of choice globally by FORTUNE magazine, DiversityInc and Great Places to Work Institute, among others. Chat, engage and follow us on social media. | Facebook | Twitter | LinkedIn | Instagram Visit www.marriott.com/careers to learn more about our workplace culture and career opportunities. Marriott International is an equal opportunity employer. We believe in hiring a diverse workforce and sustaining an inclusive, people-first culture. We are committed to non-discrimination on any protected basis, such as disability and veteran status, or any other basis covered under applicable law.","Houston, TX 41 applicants",
