id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=100,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=125,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=50,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3772&f_CR=103644278&geoId=92000000&start=75,,,,,,
https://www.linkedin.com/jobs/view/advanced-package-development-intern-at-marvell-technology-3367636104?refId=MjfqMn7houKkhNGJDP5B5Q%3D%3D&trackingId=%2B2yJSSMf4vbjbJBg4XYVPg%3D%3D&position=23&pageNum=2&trk=public_jobs_jserp-result_search-card,Marvell Technology,2 weeks ago,Advanced Package Development Intern,"About Marvell At Marvell, we believe that infrastructure powers progress. That execution is as essential as innovation. That better collaboration builds better technology. Trusted by the world’s leading technology companies for 25 years, we move, store, process and secure the world’s data with semiconductor solutions designed for our customers’ current needs and future ambitions. Through a process of deep collaboration and transparency, we’re ultimately changing the way tomorrow’s enterprise, cloud, automotive, and carrier architectures transform—for the better. The data infrastructure that our customers build has never been more critical to our global economy. It’s what’s keeping the world connected, businesses running, and information flowing. If you’re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below. The Opportunity Marvell’s Central Engineering team is seeking an Advanced Package Technology intern to contribute to the development of advanced microelectronic packages supporting up to 224 Gb/s data rates. The intern will work within a multi-disciplinary team dedicated to developing new and advanced package technologies needed for next generation of Marvell products. Tasks will include measurements and model correlation for transmission lines on advanced substrate materials, automation of material properties extraction, and reliability testing of advanced packaging technology under development. Candidate must be currently enrolled in an accredited university in an undergraduate or graduate degree program with an interest and aptitude to work in Electrical Engineering and technical communications. Job Responsibilities S-parameter measurements of packaging samples up to 125GHz Analysis of measured data to extract material electrical properties and create correlated models Reliability characterization of novel advanced packaging technologies Requirements Candidate MUST be currently pursuing a MS/PhD degree in CE/EE or related technical fields Graduating within 1.5-year The Perks With competitive compensation and great benefits, you will enjoy our workstyle within an incredible culture. We’ll give you all the tools you need to succeed so you can grow and develop with us. For additional information on what it’s like to work at Marvell, visit our Careers page. Your Future Marvell provides a work environment that promotes employee growth and development. We are searching for an individual who wants to grow with the company and will strive to improve performance. If you are driven, personable, and energetic, there will be additional opportunities for you here at Marvell. At Marvell, we are doing our part to help keep our communities and our teams safe. As part of our efforts to address the Covid pandemic and future epidemics, you may be required at any time by our policies or applicable laws to provide proof of applicable vaccination or to present negative test results. This role is eligible for our hybrid work model in which you will be able to split time between working from home and on-site in a Marvell office. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Any applicant who requires a reasonable accommodation during the selection process should contact Marvell HR Helpdesk at GR-HR-Services-Americas@marvell.com or 408-222-3604.","Westlake Village, CA",
https://www.linkedin.com/jobs/view/advanced-package-development-intern-at-marvell-technology-3367636104?refId=pC2ATXYm559oDaY8gqeatA%3D%3D&trackingId=cxQjle9ubGG8q01P6wrbIA%3D%3D&position=19&pageNum=5&trk=public_jobs_jserp-result_search-card,Marvell Technology,Hace 2 semanas,Advanced Package Development Intern,"About Marvell At Marvell, we believe that infrastructure powers progress. That execution is as essential as innovation. That better collaboration builds better technology. Trusted by the world’s leading technology companies for 25 years, we move, store, process and secure the world’s data with semiconductor solutions designed for our customers’ current needs and future ambitions. Through a process of deep collaboration and transparency, we’re ultimately changing the way tomorrow’s enterprise, cloud, automotive, and carrier architectures transform—for the better. The data infrastructure that our customers build has never been more critical to our global economy. It’s what’s keeping the world connected, businesses running, and information flowing. If you’re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below. The Opportunity Marvell’s Central Engineering team is seeking an Advanced Package Technology intern to contribute to the development of advanced microelectronic packages supporting up to 224 Gb/s data rates. The intern will work within a multi-disciplinary team dedicated to developing new and advanced package technologies needed for next generation of Marvell products. Tasks will include measurements and model correlation for transmission lines on advanced substrate materials, automation of material properties extraction, and reliability testing of advanced packaging technology under development. Candidate must be currently enrolled in an accredited university in an undergraduate or graduate degree program with an interest and aptitude to work in Electrical Engineering and technical communications. Job Responsibilities S-parameter measurements of packaging samples up to 125GHz Analysis of measured data to extract material electrical properties and create correlated models Reliability characterization of novel advanced packaging technologies Requirements Candidate MUST be currently pursuing a MS/PhD degree in CE/EE or related technical fields Graduating within 1.5-year The Perks With competitive compensation and great benefits, you will enjoy our workstyle within an incredible culture. We’ll give you all the tools you need to succeed so you can grow and develop with us. For additional information on what it’s like to work at Marvell, visit our Careers page. Your Future Marvell provides a work environment that promotes employee growth and development. We are searching for an individual who wants to grow with the company and will strive to improve performance. If you are driven, personable, and energetic, there will be additional opportunities for you here at Marvell. At Marvell, we are doing our part to help keep our communities and our teams safe. As part of our efforts to address the Covid pandemic and future epidemics, you may be required at any time by our policies or applicable laws to provide proof of applicable vaccination or to present negative test results. This role is eligible for our hybrid work model in which you will be able to split time between working from home and on-site in a Marvell office. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Any applicant who requires a reasonable accommodation during the selection process should contact Marvell HR Helpdesk at GR-HR-Services-Americas@marvell.com or 408-222-3604.","Westlake Village, California, Estados Unidos",
https://www.linkedin.com/jobs/view/analog-design-engineer-intern-at-marvell-technology-3309607870?refId=MjfqMn7houKkhNGJDP5B5Q%3D%3D&trackingId=N59Y49G%2B7lNuoCfv70ueiA%3D%3D&position=15&pageNum=2&trk=public_jobs_jserp-result_search-card,Marvell Technology,1 week ago,Analog Design Engineer Intern,"About Marvell At Marvell, we believe that infrastructure powers progress. That execution is as essential as innovation. That better collaboration builds better technology. Trusted by the world’s leading technology companies for 25 years, we move, store, process and secure the world’s data with semiconductor solutions designed for our customers’ current needs and future ambitions. Through a process of deep collaboration and transparency, we’re ultimately changing the way tomorrow’s enterprise, cloud, automotive, and carrier architectures transform—for the better. The data infrastructure that our customers build has never been more critical to our global economy. It’s what’s keeping the world connected, businesses running, and information flowing. If you’re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below. The Opportunity Come and join the excitement of developing world’s fastest high performance serial links and other analog IPs! This position is within Marvell's Analog Mixed signal IP group. The group is responsible for development of range of mixed signal IPs that support Marvell’s success in Data Center, Networking, Automotive and Storage and ASIC businesses. Job Responsibilities Investigating cutting edge architectures and implementing circuits for serial links such as: PLL, DLL, ADC, Regulators, Amplifiers, CDR etc. Evaluate new methodologies to meet stringent performance (area/power) targets. Responsible for efficient verification of design using simulation tools such as Hspice, Spectre, Matlab, etc. with the aid of scripting for data collection and organization Requirements Working towards a Master’s or PhD degree in Electrical Engineering, Electronics, Computer Science or related fields. Thorough understanding of analog circuit design fundamentals and concepts through coursework or experience. Demonstrable knowledge or experience in design of various analog circuits. Experience using IC design CAD tools Excellent problem solving and analytical skills are essential. Motivated to carry out a wide variety of tasks with clear communication and presentation skills in a dynamic team environment. The Perks With competitive compensation and great benefits, you will enjoy our workstyle within an incredible culture. We’ll give you all the tools you need to succeed so you can grow and develop with us. For additional information on what it’s like to work at Marvell, visit our Careers page. Your Future Marvell provides a work environment that promotes employee growth and development. We are searching for an individual who wants to grow with the company and will strive to improve performance. If you are driven, personable, and energetic, there will be additional opportunities for you here at Marvell. At Marvell, we are doing our part to help keep our communities and our teams safe. As part of our efforts to address the Covid pandemic and future epidemics, you may be required at any time by our policies or applicable laws to provide proof of applicable vaccination or to present negative test results. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Any applicant who requires a reasonable accommodation during the selection process should contact Marvell HR Helpdesk at GR-HR-Services-Americas@marvell.com or 408-222-3604.","Santa Clara, CA 113 applicants",
https://www.linkedin.com/jobs/view/analog-design-intern-at-marvell-technology-3311207408?refId=MjfqMn7houKkhNGJDP5B5Q%3D%3D&trackingId=lHqCMOhbJ8GbNqVpTLW3NQ%3D%3D&position=25&pageNum=2&trk=public_jobs_jserp-result_search-card,Marvell Technology,1 week ago,Analog Design Intern,"About Marvell At Marvell, we believe that infrastructure powers progress. That execution is as essential as innovation. That better collaboration builds better technology. Trusted by the world’s leading technology companies for 25 years, we move, store, process and secure the world’s data with semiconductor solutions designed for our customers’ current needs and future ambitions. Through a process of deep collaboration and transparency, we’re ultimately changing the way tomorrow’s enterprise, cloud, automotive, and carrier architectures transform—for the better. The data infrastructure that our customers build has never been more critical to our global economy. It’s what’s keeping the world connected, businesses running, and information flowing. If you’re ready to excel, innovate, and truly enjoy your work, apply now for the position detailed below. The Opportunity CE AMS ACE PHY group supports analog mixed signal product development for Automotive and Ethernet PHY businesses in Marvell. Responsibilities Job Responsibilities: Understanding the requirements of the analog design requirement Propose innovative design architecture and implement the novel ideas Develop and enhance flows that support and facilitate robust analog IC design Requirements Minimum Qualifications: Candidate MUST be currently pursuing an MS/Ph.D. (preferred) degree in EE or related technical field(s) and expecting graduation the next year Preferred Qualifications Excellent Design and Development experience, pursuing an MS in EE, and good verbal and written communication skills Strong fundamentals in analog and mixed-signal circuit and signal processing Design experience in high-speed PLL: fractional PLL, LC-VCO, DLL, Phase interpolator Design experience in high-speed transceivers: CTLE, PGA, transmitter DAC and ADC. The Perks With competitive compensation and great benefits, you will enjoy our workstyle within an incredible culture. We’ll give you all the tools you need to succeed so you can grow and develop with us. For additional information on what it’s like to work at Marvell, visit our Careers page. Your Future Marvell provides a work environment that promotes employee growth and development. We are searching for an individual who wants to grow with the company and will strive to improve performance. If you are driven, personable, and energetic, there will be additional opportunities for you here at Marvell. At Marvell, we are doing our part to help keep our communities and our teams safe. As part of our efforts to address the Covid pandemic and future epidemics, you may be required at any time by our policies or applicable laws to provide proof of applicable vaccination or to present negative test results. This role is eligible for our hybrid work model in which you will be able to split time between working from home and on-site in a Marvell office. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Any applicant who requires a reasonable accommodation during the selection process should contact Marvell HR Helpdesk at GR-HR-Services-Americas@marvell.com or 408-222-3604.","Santa Clara, CA 49 applicants",
