id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3595008&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=3595008&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs/view/combat-designer-ai-system-at-netease-games-3373056003?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=Hobe2mvwZ5dMAwCf8dorfQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,21 hours ago,Combat Designer(AI System),"Combat Designer – Unannounced Basketball Game Location: Currently Remote About the Company: As a leading internet technology company based in China, NetEase, Inc. (NASDAQ: NTES and HKEX:9999, “NetEase”) provides premium online services centered around content creation. With extensive offerings across its expanding gaming ecosystem, the Company develops and operates some of China’s most popular and longest running mobile and PC games. Powered by industry-leading in- house R&D capabilities in China and globally, NetEase creates superior gaming experiences, inspires players and passionately delivers value for its thriving community worldwide. By infusing play with culture and education with technology, NetEase transforms gaming into a meaningful vehicle to build a more entertaining and enlightened world. Beyond games, NetEase service offerings include its majority-controlled subsidiaries Youdao (NYSE: DAO), China’s leading technology-focused intelligent learning company, and Cloud Music (HKEX: 9899), China’s leading online music content community, as well as Yanxuan, NetEase’s private label consumer lifestyle brand. NetEase’s ESG initiatives are among the best in the global media and entertainment industry, earning it a distinction as one of the S&P Global Industry Movers and an “A” rating from MSCI. For more information, please visit: http://ir.netease.com/. For more cool things we did recently, please refer to our official website: http://www.neteasegames.com/game/hot/ About the Team: This is a strategic project of NetEase IEG to expand in the global market. It is a real-time 5V5 3A basketball PC game, aiming to provide a real and competitive basketball game play experience. Our team has been deeply involved in the sports game category for many years and has rich and successful experience in online game development and operation. We keep exploring the next-generation cutting-edge technologies, in-depth research in animation, physics, AI, rendering and other technical fields, which aim to create a AAA game production pipeline and create a new era of sports games. We are passionate in what we loved, so we get together to devote for it. We look forward to your joining! Responsibilities: Responsible for the generic behavioral AI design for sports games, which meets the requirements of AI editor, with the features of visualization, adaptability, scalability, reasonable decision making, flexible configuration, etc. Design the AI system architecture for combats, collaborate with the program team and follow the whole process of developing the corresponding functions. Requirements: At least 5+ years of experience in game development, with AAA-level Single-player games or online games with 100+ million USD monthly revenue. Experience in core gameplay of AI development for Real-Time Action games, participating in the development of a large-scale mobile or PC game。 Familiarity with AI operation principle and the design of related tools. Proven experience in the design and production of behavioral AI, and the ability to plan and design the whole framework. Rich game-playing experience, familiar with the principles of basketball technique and tactics. Pluses: Good understanding of Unreal 4 and related tools is preferred. Experience in MOD production is preferred. Perks of Benefits: Competitive salary and possible bonus plan. Generous 401k company match Generous paid vacation - up to 22 days! Daily meal and commute allowance! Attractive parental leave (12 weeks at 100% pay) and family care leave. Company-paid Life Insurance Health & wellness stipend. NetEase Games is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law, and will not be discriminated against based on disability. Accommodation Request: We are committed to working with and providing reasonable assistance to individuals with physical and mental disabilities. If you are a disabled individual requiring an accommodation to apply for an open position, please email your request to grp.zhaopincoe@corp.netease.com. General employment questions cannot be accepted or processed here. Thank you for your interest.",Los Angeles Metropolitan Area,
https://www.linkedin.com/jobs/view/community-development-manager-at-netease-games-3371387949?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=h50ZGRF3r%2BaPJ7ioEE5QFA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,4 days ago,Community Development Manager,"About the Company: As a leading internet technology company based in China, NetEase, Inc. (NASDAQ: NTES and HKEX:9999, “NetEase”) provides premium online services centered around content creation. With extensive offerings across its expanding gaming ecosystem, the Company develops and operates some of China’s most popular and longest running mobile and PC games. Powered by industry-leading in- house R&D capabilities in China and globally, NetEase creates superior gaming experiences, inspires players and passionately delivers value for its thriving community worldwide. By infusing play with culture and education with technology, NetEase transforms gaming into a meaningful vehicle to build a more entertaining and enlightened world. Beyond games, NetEase service offerings include its majority-controlled subsidiaries Youdao (NYSE: DAO), China’s leading technology-focused intelligent learning company, and Cloud Music (HKEX: 9899), China’s leading online music content community, as well as Yanxuan, NetEase’s private label consumer lifestyle brand. NetEase’s ESG initiatives are among the best in the global media and entertainment industry, earning it a distinction as one of the S&P Global Industry Movers and an “A” rating from MSCI. For more information, please visit: http://ir.netease.com/. For more cool things we did recently, please refer to our official website: http://www.neteasegames.com/game/hot/ Responsibilities: Work with the development team, create a marketing strategy for North American players from the ground. Promote the implementation of user feedback collection-sorting-solving mechanism from ground, continuously optimize user experience and improve user satisfaction. Responsible for the planning and implementation of the user ecology, ensure the achievement of the activity index and Improve user stickiness outside the game. Develop in-game events for game communities, work with development staff to implement your idea. Design community events for players before the release of alphas, betas and the final product. Lead a marketing team to improve the number of players and active users. Track, analyze and provide report to dev team about player's feedback including community sentiment, concerns and suggestions to drive continuous improvement, optimization, and innovation. Requirements: At least 2+ years relevant experience of game community management. Long-term active user of various game players’ community. In-depth knowledge of current community and other different content distribution channels. Familiar with player communities such as Discord. Strong communication skills and promotion ability. Good at building connections with others in new environments, and effectively promote the implementation of things. Highly self-motivated, organized and multi-tasked. Be ready to take on challenges and innovative. Pluses: Major in journalism, communication, marketing, or relevant field. Bilingual in Mandarin and English is preferred. Veteran gamer, familiar with open-world/survival/shooter games. KOL in Mobile/PC/Console games area or admin of player’s Community is a big plus. Perks of Benefits: Competitive salary and possible bonus plan. Generous 401k match plan Generous paid vacation - up to 22 days! Daily meal and commute allowance! Attractive parental leave (12 weeks at 100% pay) and family care leave Company-paid Life Insurance Health & wellness stipend NetEase Games is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law, and will not be discriminated against based on disability. Accommodation Request: We are committed to working with and providing reasonable assistance to individuals with physical and mental disabilities. If you are a disabled individual requiring an accommodation to apply for an open position, please email your request to grp.zhaopincoe@corp.netease.com. General employment questions cannot be accepted or processed here. Thank you for your interest.",Los Angeles Metropolitan Area,
https://www.linkedin.com/jobs/view/community-management-at-netease-games-3345822209?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=2%2FTg50H%2FcIns86Kt6SoXLQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,3 weeks ago,Community Management,"Job Description - Manage the global community team of a NetEase game product. - Develop overall social media marketing, player relations and original content strategy. - Track programs budgets and oversee overall social media and original content budget. - Evaluate and lead innovation across platforms and channels, leveraging critical industry insights. - Oversee channel prioritization, PDCA, momentum plans to ensure progress toward overall program goals. - Partner with Global Brand Marketing teams to ensure brand consistency. - Maintain and optimize NetEase’s social media and original content playbook, brand voice and guidelines. - Works within strategic communications and other internal departments to ensure cohesion, create synergies and streamline processes. Job Requirements - A deep understanding of NetEase's core values and vision. - 2 or more years of PR, social, digital marketing experience in games, tech and/or entertainment industry. - 2 or more years of social media and content marketing focused program oversight. - Excellent communication and project management skills. - Good judgment in navigating and resolving sensitive situations online. - Ability to work with remote/international teams to meet joint goals. - Familiar with shooter or mmo game is preferred.",United States 164 applicants,
https://www.linkedin.com/jobs/view/design-lead-at-netease-games-3373013226?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=1vUeHRXEX%2FeqWvJBcNLGSQ%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,1 week ago,Design Lead,"Design Lead About the Company: As a leading internet technology company based in China, NetEase, Inc. (NASDAQ: NTES and HKEX:9999, “NetEase”) provides premium online services centered around content creation. With extensive offerings across its expanding gaming ecosystem, the Company develops and operates some of China’s most popular and longest-running mobile and PC games. Powered by industry-leading in-house R&D capabilities in China and globally, NetEase creates superior gaming experiences, inspires players, and passionately delivers value for its thriving community worldwide. By infusing the play with culture and education with technology, NetEase transforms gaming into a meaningful vehicle to build a more entertaining and enlightened world. Beyond games, NetEase service offerings include its majority-controlled subsidiaries Youdao (NYSE: DAO), China’s leading technology-focused intelligent learning company, and Cloud Music (HKEX: 9899), China’s leading online music content community, as well as Yanxuan, NetEase’s private label consumer lifestyle brand. NetEase’s ESG initiatives are among the best in the global media and entertainment industry, earning it a distinction as one of the S&P Global Industry Movers and an “A” rating from MSCI. For more information, please visit http://ir.netease.com/. Job Description: Work with team leads to develop a vision across the team, and ensure execution in design and player retention and activeness in North America; Lead the team efforts to improve player experience in North America, particularly on a game system based on player research and data, and lead the implementation of the game iteration in North America to ensure the gameplay experience, core competitiveness, and player satisfaction; Creatproposalsthatarticulatehowthesefeaturesandsystemsupholdthe game’s design pillars and drive the desired player behaviors; Upholdaholisticviewofgamedesignwithanemphasisongamesystems and the downstream effects of all design decisions throughout both the product and player lifecycle; Help China Team strengthen their understanding of the players in North America, including market trends, player preferences, habits, etc. Requirements: Familiar with the worldview of Diablo Immortal and western fantasy; Sensitive to player needs and data, and has independent experience in online/testing game data optimization; Results-driven and problem-oriented, good leadership and communication, and embracing teamwork; Experience with mobile and PC games in North America (rich experience in mobile games and MMORPG games preferred) understanding of different genres of games and player preferences in North America; Deep understanding of player habits in North America. NetEase Games is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law, and will not be discriminated against based on disability.","Los Angeles, CA",
https://www.linkedin.com/jobs/view/director-of-publishing-us-at-netease-games-3355870674?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=p7Zh%2FbXpYycXJun6B98CsQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,2 weeks ago,Director of Publishing-US,"Job Description Director of Publishing and marketing is the most significant leader and founder within US, focused on the establishment and enhancement of NetEase Games’ commercial & marketing strategies and activities that result in increased users, engagement, and revenues for NetEase Games America. As a Director of Publishing, you will Establish Publishing and distribution departments for US from the ground up. Devise publishing strategies for NetEase’s US studios, including publishing timeline, distribution platform negotiation, branding strategy, and pricing strategy. Helps define go-to-market strategy and drive sign-off from leadership to ensure the marketing will be executed on schedule and on quality. Lead and continually enhance internal studio’s marketing meeting framework that best supports the go-to-market strategy and implementation across multiple game products, including Brand, Product Planning, Marketing, Product Management, Live Ops, Partnerships, Community & Competitive Gaming. Be the subject-matter expert when it comes to developer/marketing relationships process and engagement logistics. Explore user demand and develop new products for US, keep track of user needs and trends to explore new opportunities. Job Requirements Proven experience within game or digital entertainment services industry. Strong understanding of game publishing and operations within US region. A deep understanding of the International Market landscape & cultural nuances, with ability to detail key regions & game consumer groups within those markets. Exceptional organizational, analytical & reporting skills. Experience in external partner relationship management. Strong communication skills with ability to work in a multinational and diverse market. A decent team player with strong ability to cooperate and work with remote cross functional teams. Practical knowledge of Console and Mobile centric marketing tools, platforms, and channels. Passion for video games and the entertainment industry.",United States 70 applicants,
https://www.linkedin.com/jobs/view/it-support-specialist-at-netease-games-3356674383?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=oRUYCVMIROOD0RcHH6cgpQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,2 weeks ago,IT Support Specialist,"About NetEase Games: NetEase Games is one of the largest game developers worldwide by size and revenue. Over the years, NetEase Games has always been focusing on developing high quality contents and providing best experience for gamers all around the world. So far, the company has more than 100 games in operation. Its recent games include Naraka: Bladepoint, Knives Out, Onmyoji, Identity V, Harry Potter: Magic Awakened, etc. NetEase Games also established in-depth partnership with some of the world’s most creative studios including: Mojang (developer of Minecraft), Niantic (developer of Pokémon Go), BHVR (developer of Dead by Daylight). In the future, NetEase Games will uphold the concept of ""ingenuity and innovation"", together with our partners around the world, to create high-quality games that can be shared and loved by global players. About the Job: As NetEase Games is expanding rapidly in North America, Europe and Asia, we are eager to find several IT Support Specialists in the US (Seattle), Canada (Montreal) and UK (London) to provide the best technical support to the employees within the organization. Responsibilities: Provide desktop/laptop support, including but not limited to Software/Hardware issues and reinstallation of OS, and participate in information security operations. Responsible for the construction and maintenance of the network and weak current system in the office, including switch and firewall configuration and tuning. Regularly assist each studio in IT matters for onboarding/offboarding staff, including computer preparation for new employees and computer recycling after employees leave. Assist each studio with computer hardware upgrades or replacements. Responsible for the printer and conference equipment maintenance and providing conference support as requested. Communicate with studios regularly, understanding and collecting their IT requirements. Responsible for daily IT assets management and annual inventory maintenance. IT devices’ operation and maintenance, including but not limited to NAS, firewall, switch, router, AP configuration, and tuning. Daily IT issue troubleshooting with technical document writing and knowledge sharing with team members. Requirements: A Bachelor's Degree or above in computer science or other related major. At least 4 years of working experience in IT or Internet areas. Master of computer hardware installation, troubleshooting, and maintenance. Master of Windows command, strong troubleshooting skills in Windows OS. Good sense of customer service, responsibility, and execution. Strong sense of initiative, cooperation, and teamwork. Familiar with Linux scripting or Windows PowerShell and use scripting to achieve some automation in daily support Strong communication skills with customers, peers, and partners It is preferred to have experience with gaming console devkits/troubleshooting Location: Hybrid working arrangement in one of the following locations: Seattle, WA (US); Montreal, QC (Canada); London (UK).","Seattle, WA 89 applicants",
https://www.linkedin.com/jobs/view/lead-engine-programmer-at-netease-games-3379122100?refId=ar2O1yY41vpApvbrl1EJmA%3D%3D&trackingId=CU4O5npp3%2Bp11vwdRNOhNg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,NetEase Games,10 hours ago,Lead Engine Programmer,"Job Description Develop new pipeline technology for the production of current and future games. Implement efficient exporters and tools to support production teams. Maintain and support our existing pipeline technology while in use by production teams. Contribute innovative and original ideas towards all aspects of game production and development. Work with technical leader to identify technical risks and generate solutions. Work with senior team mates to complete assigned projects. Work with senior teammates to develop further skills and expertise. Keep current with the technological developments and advancements in the game industry. Analyze code for performance and optimization opportunities. Document functionality and implementation details for production and other engineers. Other duties as assigned. Supervisory Responsibilities: Directly supervises a small team. Job Requirements 5 years related experience and/or training, or an equivalent combination of education and experience. Thorough knowledge of game production tools and pipelines. Thorough knowledge of C++, and Python programming. Strong grasp of mathematical concepts and analysis techniques as they apply to game engine programming. Other Skills: Experience scheduling, scoping, and/or distributing technical work.","Los Angeles, CA",
https://www.linkedin.com/jobs/view/lead-user-researcher-at-netease-games-3374568150?refId=OPXozHlHOyoelVm4xQpEkw%3D%3D&trackingId=W94GlKzLHVHK8SE77nOfiQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,NetEase Games,5 days ago,Lead User Researcher,"Location: Seattle; Los Angeles; or Remote in USA/CAN with 10% Travel Position: Full-Time Permanent The Short Story We are NetEase Games, one of the most successful video game publishers in Asia. We are expanding into the North American (NA) and European (EU) markets and need an experienced user researcher to help us generate a deep knowledge of those markets. As our Lead User Researcher and the most senior individual contributor on our NA research team, you will lead this research program and strive to generate the most valuable understanding of the NA and EU video game markets the world has ever seen. You will report directly to the Sr User Research Manager, receive support from other researchers on our team and collaborate with internal gaming experts, data scientists, and UX designers to achieve your goal. Meet your future team You will join the NA arm of NetEase Game’s Global Research Department (GRD). NetEase Games takes data and insights very seriously, and our international GRD teams with state-of-the-art research labs are proof of that. The NA team, composed of researchers of all levels of seniority, with various research expertise and varied cultural background, is the newest addition to our global workforce and is already growing fast. Our operations cover the spectrum of exploratory, generative and evaluative research projects, and the games we work on cover multiple genres across mobile, PC, and console. In addition, you will have the opportunity to collaborate and receive support from the gaming experts, data scientists, and UX designers who, together with the GRD, from the greater User Experience Center. Our ambition is to become one of the most effective and successful game user research teams in the world, and we are just getting started. What you will do Build and foster relationships across the organization, including product managers, research leads, game analysis consultants, and data scientists. Identify high-value opportunities to increase NetEase’s understanding of the NA and EU video game markets and its various player segments Secure buy-in from key stakeholders, with support from the Sr User Research Manager, by connecting research opportunities with business objectives, product roadmaps, and stakeholder priorities Define and lead complex research projects and/or programs end-to-end, with help from the rest of the research team for the execution Combine as many methods as is necessary across exploratory, generative, and evaluative research to transform opportunities into actionable data and insights Socialize and champion research insights to ensure they create significant value for NetEase Games’ players and business Coach other members of our team to help them learn new skills and grow as researchers Contribute to the efficacy and efficiency of our team by identifying and addressing the need for new or improved tools, processes, standards, learning, etc. Your biggest challenges ahead NetEase Games is expanding into the North American and European markets after having known continued success across Asia. The organization stores an immense amount of gaming knowledge and game design expertise, however, there are important cultural barriers to surmount. Gaming expectations and preferences vary greatly across these different markets that are already served by high-quality publishers. You will play the most critical role in bridging this gap. Leading long-term, multi-part, and collaborative research projects may only be half the challenge. You will also have to frame exactly how cultural differences in video game consumption should be understood and researched. This will require a great deal of independence, a large dose of perseverance, and an ability to transcend cultural barriers. Our minimum requirements Bachelor's degree in Human-Computer Interaction, Cognitive Science, Statistics, Psychology, Anthropology, related field, or equivalent practical experience 6 years of experience in an applied research setting, or similar Experience with a broad range of research methods (e.g., surveys, focus groups, interviews, contextual inquiries, diary studies, playtesting, etc.) Expertise with one of the above methods What will make you stand out 8+ years of user research experience in the video games industry 4+ years of experience leading complex research projects Expertise with more than one qualitative research method Strong grasp of survey design, and an understanding of more advanced survey techniques (Conjoint, Clustering, EFA, CFA, etc.) Demonstrable experience generating insights about the video game market, some of its genres, and/or some of its player segments Highly independent, including excellent goal-setting and organizational skills Knowledge of, and experience working across, the North American and Chinese cultures Strong storytelling, presentation, and data visualization skills Passionate about one or more genres of video games Some of what we offer Comprehensive health care coverage 100% 401(k)/RRSP matching up to 6%/7% of base salary (USA/CAN) Generous paid time off, holidays, and maternity/paternity leave A growth-focused environment where we care for your career NetEase Games is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, gender expression, national origin, protected veteran status, or any other basis protected by applicable law, and will not be discriminated against based on disability. Accommodation Request: We are committed to working with and providing reasonable assistance to individuals with physical and mental disabilities. If you are a disabled individual requiring accommodation to apply for an open position, please email your request to grp.zhaopincoe@corp.netease.com. General employment questions cannot be accepted or processed here. Thank you for your interest.",United States 113 applicants,
