id,company,date,jobTitle,jobDescription,location,json
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=1088&f_CR=103644278&geoId=92000000&start=0,,,,,,
https://www.linkedin.com/jobs-guest/jobs/api/seeMoreJobPostings/search?f_C=1088&f_CR=103644278&geoId=92000000&start=25,,,,,,
https://www.linkedin.com/jobs/view/analog-field-applications-engineer-at-nxp-semiconductors-3367646241?refId=lL9EhXnJ2zbsXiLjUL26Eg%3D%3D&trackingId=OxInn4%2BVZ8g8Eq7X%2B1HGmA%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,2 weeks ago,Analog Field Applications Engineer,"As a Field Applications Engineer, you’ll be one of the key players in NXP’s Automotive Sales team and part of a worldwide technical community working closely with NXP colleagues and our customers. You will drive demand creation and design-in activity at customer sites in close cooperation with NXP sales account management and business lines. You will provide system insights, product technical knowledge & application support to NXP’s sales staff. You will work closely with the NXP technical community about technical issues, product roadmaps and future customer requirements. We expect you to communicate the NXP value message in a persuasive and accurate manner, in order to increase our market share and satisfy our customers. As an Automotive Advanced Analog Field Applications Engineer your main emphasis will be to drive design wins of NXP’s Automotive Advanced Power Systems (APS) products, identify opportunities, recommend appropriate solutions leveraging NXP architectures, support customer evaluations, and help resolve any product issues that may arise in the customer's system. You will also be expected to provide and facilitate, with the business lines, post-sale application support to our customers. Your responsibilities will include: Work with sales team members, business lines and customers in support of sales team objectives to capture new business opportunities. Compile target system, customer and competitive insights as input to improve product definition and roadmaps Develop relationships with key customer engineers and decision makers with the goal of being considered a trusted technical advisor. Develop a thorough understanding of NXP APS products and drive their adoption, as well as adjacent supporting products, with customers. Manage trouble shooting and technical support to customers as needed. Facilitate technical discussions between customer, business lines and 2nd line technical support teams. Develop technical material and training presentations and present at customer events. Manage demo properties and engage customers at technical events, creating interest in NXP products and solutions. Drive technical discussions with customers to understand use cases and system level requirements and how those impact component level requirements. Feedback regional market trends and customer direction to the appropriate product line. Educate sales teams on NXP’s APS portfolio and system implementations. Key Attributes: MS or BS Degree in Electrical Engineering. A minimum of 7 years of experience in automotive or relevant electronics applications. Experience in product design, systems engineering and/or field application engineering. Experience with electronic system power supplies and thermal management. Experience with various Switch Mode Power Supply topologies and components with an excellent understanding of their design benefits and relevant tradeoffs. Experience working with Functional Safety System Requirements and implementations (ISO 26262) Familiarity with automotive communications devices and protocols (e.g., CAN, LIN, Ethernet,..). Familiarity with general microcontroller programming and communication protocols (e.g., SPI, I2C,..) Experience with standard build, programming and debug tools. Strong analytical, problem solving and follow-up skills. Capable of establishing open and trusting relationships with customers and colleagues. High degree of self-motivation, flexibility, business and organizing skills, with the drive to succeed. Excellent written and verbal communication and presentation skills in English. Excellent recognition and collaboration skills to leverage extended team expertise when appropriate. Willingness and ability to travel. Location: Novi, Michigan","Novi, MI",
https://www.linkedin.com/jobs/view/antenna-engineer-at-nxp-semiconductors-3330566535?refId=lL9EhXnJ2zbsXiLjUL26Eg%3D%3D&trackingId=xBw77mpn5kYVmJaJCBKrjg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,2 weeks ago,Antenna Engineer,"Antenna Engineers (and RF-mmWave Experts) Responsibilities ·      Design, develop, optimize, and implement mmWave antennas for NXP’s innovative wireless technologies. ·      Perform electromagnetics simulations and communicate with graphical representation of data. ·      Drive prototyping of AiP and PCB antennas, modules, and packages. ·      Interface with cross-functional teams to define requirements and features of exciting novel products. ·      Adapt to remote or hybrid work environment at NXP’s California or worldwide locations. Key Qualifications ·      Readily fluent with HFSS simulations and proficient in other EM modeling tools (please specify). ·      Solid fundamentals in electromagnetics and physics background related to antenna design, RF systems, microwaves, and near-field communications. ·      Strong theoretical knowledge and experience in RF and antenna design. ·      Experience in building mathematical models of complex electromagnetic systems. ·      Build EM simulation infrastructure and tools to maximize productivity and efficiency. ·      Own the antenna concept and implementation of antenna systems for next-generation products. ·      Work at the intersection of ambitious scientific goals and product development. ·      Experiment with new antenna designs and successfully prototype them to completion. ·      Develop creative antenna solutions and explore innovative antenna fabrication processes and new antenna materials to meet high-performance requirements. ·      Collaborate with design, engineering, materials, and marketing teams on the antenna feasibility study for achieving hardware products to completion. ·      Hands-on involvement in the development of antenna systems: design, simulation, data analysis, validation, and manufacturing. ·      Knowledge of NFC communications techniques. Education & Experience ·      Preferred:  PhD (in Electromagnetics, Physics, or equivalent field) and directly relevant experience. ·      Typical:  M.S. + directly relevant experience, Required:  B.Sc. + demonstrable and relevant experience. ·      Experience in mmWave antenna design, simulation, optimization, prototyping, and measurements. ·      Knowledge of crucial antenna concepts, such as impedance matching, tuning, antenna isolation, interference, gain, polarization, radiation pattern, link-budget analysis, beamforming, phased-array architecture, frequency spectrum, multi-band operation, waveguides, and transmission lines. ·      Familiarity with PCB and AiP manufacturing processes, materials, and packaging. ·      Electromagnetics, antennas, microwaves, coding, and numerical analysis courses taken. In addition to a CV/resume, the applicant should submit a letter that clearly explains the applicant’s education and experience for each item in the above, such as courses taken (transcripts), projects completed (reports), etc. Submit Application Packages to levent.gurel@nxp.com","San Jose, CA 103 applicants",
https://www.linkedin.com/jobs/view/design-verification-engineer-at-nxp-semiconductors-3355108692?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=urYL%2FTU%2F9fL%2BhRmgcjEmKQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,3 weeks ago,Design Verification Engineer,"This position is for a digital verification engineer supporting mixed signal IC development in the area of mobile IC's. This position requires a strong verification background for state of the art mixed signal ICs with experience in UVM. The verification responsibilities will include architecting verification strategies, leading a team to verify logic designs, building UVM System Verilog constraint driven testbenches, creating protocol specific verification components (UVCs), checkers and scoreboards. Candidate should be proficient in constructing test benches and writing sequences, functional coverage, writing tests to create test patterns, performing code coverage analysis, debugging of gate level simulations and code and functional coverage closure. Experience in high speed protocols such as USB, PCIe, Display Port is desired. This position requires excellent communication and problem solving skills. Candidate should be proficient in Verilog/SystemVerilog and be familiar with VHDL. At least 10 years of digital verification experience Verification of mixed signal ICs is a plus. Experience with the Cadence digital design tools is beneficial as is any experience with analog modeling. BSEE required, MSEE preferred Location: Chandler, AZ","Chandler, AZ 27 applicants",
https://www.linkedin.com/jobs/view/design-verification-engineer-at-nxp-semiconductors-3355111752?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=JQmpPOYUWQlH%2FoiW5Tg3HA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,3 weeks ago,Design Verification Engineer,"Position is for a digital verification engineer supporting mixed signal IC development in the areas of Smart Front Ends and Interfaces. This position requires a strong verification background for state of the art mixed signal IC's with experience using constrained Random Verification in UVM. The verification responsibilities will include: 1)Building System Verilog UVM constraint driven test benches 2)Creating Verification IPs (UVCs) 3)Ability to create a Verification Plan using design documentation and collaboration with other functional leads and product definers 4)Writing and debug of functional tests 5)writing functional coverage and performing coverage closure (functional and code) 6)Gate level simulations. The position requires excellent communication and problem solving skills. At least 7 years of verification experience. Experience with Cadence tools is beneficial as is any experience with AMS simulation. Experience with high speed protocols such as USB, eUSB, PCI, and PCIExpress as well as low speed protocols likeI2C, and I3C is desired. BSEE required. MSEE preferred. Location: Chandler, AZ","Chandler, AZ",
https://www.linkedin.com/jobs/view/digital-design-engineer-front-end-at-nxp-semiconductors-3377604012?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=cQEeFZZFj5dbtau67cz9WA%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,2 days ago,Digital Design Engineer (Front End),"Front End Digital Design (System Verilog, Verilog, Architecture, Verification, Synthesis, Timing)","Chandler, AZ",
https://www.linkedin.com/jobs/view/electronics-bench-technician-r-10040425-at-nxp-semiconductors-3369567061?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=PqLZRe7wC6TWEKo5kfTWDg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,1 week ago,Electronics Bench Technician - R-10040425,"Job Description NXP Semiconductors enables secure connections and infrastructure for a smarter world, advancing solutions that make lives easier, better, and safer. As the world leader in secure connectivity solutions for embedded applications, we are driving innovation in the secure connected vehicle, end-to-end security & privacy, and smart connected solutions markets. This vacancy is within the R&D Analog Validation Engineering group, a central design organization within NXP, developing products for multiple business lines in Automotive, Internet of Things (IoT), Networking, and Radio Frequency products, with expertise in hardware engineering, including architecture, IP, and full SoC Design. Job Summary: In this position, you will be responsible for debugging and troubleshooting test equipment, maintaining up-to-date equipment calibrations, and conducting preventive maintenance according to Lab standards. You will help with the selection and setup of specialized equipment to support validation engineering while tracking and maintaining equipment inventory. In addition, you will: · Solder/remove board components while adhering to best industry standards · Support validation engineering activities by monitoring silicon validation testing · Maintain and restock Lab supplies as needed · Monitor Lab operations in compliance with NXP directives · Transport material between labs and calibration areas Key Challenges: · Accurately maintain equipment inventory and provide equipment status on short notice · Develop and/or optimize automotive validation Lab processes · Successfully support engineering requests for testing Cross-functional aspects: · As the Lab Technician, you will interact with other Lab teams, managers, and equipment vendors. · You will work closely with other Global Validation teams to resolve remote equipment setups and testing. Job Qualifications: · High School diploma required; Associates Degree in Electronics is preferred · Two to Five years of experience in the semiconductor industry is preferred. · Soldering experience along with proper certification is preferred · Familiar with the use of Lab Equipment (oscilloscopes, power supplies, etc) · Familiar with product testing operations and calibration tools/systems · Excellent problem-solving skills Job Location: Austin, TX, USA","Austin, TX",
https://www.linkedin.com/jobs/view/global-data-scientist-coe-project-manager-at-nxp-semiconductors-3380297984?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=1QijiVK%2Ftkz39KpEeXOTqA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,5 days ago,Global Data Scientist CoE Project Manager,"The Enterprise Data Science Center of Excellence (CoE) team, within the Enterprise Business Intelligence (EBI) organization, works beyond enabling the business users with tools and technologies that help them with their information discovery and analysis. This CoE is responsible for guiding the broader organization with advanced analytics competency development and solution implementation, Human Resources strategy to attract and retain top data science talent, and consult with senior leadership on corporate-priority projects. We operate on a global level, with regional presence, with team members in Austin, and Eindhoven, Guadalajara and Kaohsiung. This team is seeking an experienced project manager / coordinator and scrum master to collaborate closely with our business partners and IT, to coordinate the design and implementation of advanced analytics solutions, utilizing our portfolio of technologies. You will work alongside your other data scientists and machine learning engineers in the Data Science Center of Excellence, which spans the entire Enterprise and supports all business domains, in collaboration with and support from C-Suite leadership. This project manager / coordinator role will focus on helping our internal business partners accelerate the transformation of their processes and people. You will perform direct outreach to other project managers, scrum masters, technical developers, citizen data scientists, data scientists and leaders in the business teams. This team is new and growing, our candidate would be comfortable with ambiguity and self-identifying areas of opportunity for improvement. You like diversity of work?....you will have it: expect exposure to a wide range of enterprise organizations, such as Finance, Supply Chain, Human Resources, Global Sales and Marketing, Manufacturing and Operations, IT, etc. Our ideal candidate is highly organized, and can follow a high level, technical conversations alongside their data science colleagues. Your Responsibilities: Lead and coordinate projects or EPICS in an agile way Lead standup meetings for the Data Science CoE team, manage the team's Kanban boards, and act as scrum master in the quarterly PI-planning Responsible for intake and coordination of new data science projects and solutioning Be creative and foster innovation in the teams Work cross-functionally with key partners from IT and the different business lines Coordinate project handoff between the data scientists, business developers and the machine learning engineer as projects are moved from proof of concept into production. Support acceleration of the time-to-value for the internal and external clients Keep business value of data science initiatives front and center in every next step of the project/epic Own and continuously improve the project intake (use case funnel) and operationalization process Monitor and report, with regular cadence, the performance of the projects and epics Be the whip to ensure task/story owner commitments are being met; escalate when timelines and commitments incur slip Your Profile: Masters or Bachelor’s degree in Computer Science / Software Engineering or other data/analytics related field, with 8+ years of working experience in complex IT environment Proven experience in managing (project) teams in the agile way of working ( > 5 years) Knowledge of the DevOps culture and principles You have technical background and affinity with an R&D environment and way of working PMP certification with CSM or SAFe Scrum Master certification would be added advantage Familiarity with data science use cases, processes, personas and challenges Strong teamwork and communication skills; Organized, efficient, and results-driven You are a process-oriented, creative, analytical, open-minded and transparent on own work Eager to learn and not afraid to take initiative. You know how to learn from failure You have great English communication skills, both verbally and in writing","Austin, TX 26 applicants",
https://www.linkedin.com/jobs/view/global-key-account-manager-at-nxp-semiconductors-3369956715?refId=i541qZEA0HmeV7R5W5ngcA%3D%3D&trackingId=eugkGCm00cmiiZOn7NrPHQ%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,NXP Semiconductors,1 week ago,Global Key Account Manager,"Focus Account Manager - Seattle In this Focus Account Manager role, you will have the opportunity take the lead in shaping our future business with strategic customers/partners in the networking markets. With your knowledge and experience, you will cultivate design in opportunities, drive roadmaps, and be accountable in executing our growth strategy. Facilitating alignment between key account needs and product and roadmap deliverables will be a critical function of the role. As a Focus Account Manager at NXP, you will be part of a global Go-to-Market team that delivers 2x market growth for all NXP’s businesses by building and maintaining strong relationships within the customers and within NXP. You will leverage your knowledge of the industry and customers’ ecosystem to position NXP and execute innovative approaches to outmaneuver the competition every day. Responsibilities: Own the design, deployment and execution of a winning account strategy to identify each project, device, and win every opportunity for NXP Coordinate globally and facilitate joint business meetings across units, geographies and drives strategy towards the business line (i.e., roadmap development, alignment of support resources) Manage strategic accounts by successfully designing in NXP technology and driving projects to revenue Collaborate with engineering and marketing teams to close designs and successfully launch projects Provide deal dynamics intelligence including product requirements, decision criteria, roadblocks, timeline, budget, competitors Identify key decision makers within customer executive team, engineering, supply management and establish relationships in favor of NXP Manage and close sales opportunities through forecasting, account resource allocation, account strategy and planning Create and align monthly and quarterly sales forecast, delivering revenue goals and ensuring on-time supply Facilitate development of solutions with the customer as a relationship, helping them design future products and being an ecosystem player in the customer buying group Conduct face to face customer management meetings as necessary to provide support, address issues, communicate updates and build strong relationships Provide customer support including product information, roadmaps, demonstrations, price and delivery quotations Negotiate and facilitate business issues/terms including pricing, contracts, and deliveries. Be highly accountable to individual and team commitments Maintain awareness of major customer trends, trade development, and competitive activity and share them with the Product and Marketing teams Qualifications: Preferred 7+ years of sales experience in semiconductor industry or related field BSEE preferred, or BS and relevant technology experience Preferred experience selling system level solutions, with focus on processing, security and connectivity subsystems Technically adept understanding of hardware and software and how businesses can leverage NXP to deliver better end products Understanding of competitive dynamics and strategies of key industry players, technical and other differentiated capabilities required to win in the marketplace Proven ability to manage complex sales cycle, with a track record of successful revenue attainment Excellent communication, negotiating and closing skills with customers Ability to direct global, cross-functional resources to remove barriers and achieve sales goals Highly proficient in MS Office (Word, Excel, Outlook, PowerPoint) Highly organized with attention to detail and exceptional follow up skills Proven history of overachieving quota and results in a large, high-growth company Ability to assess business opportunities and read prospective buyers Ability to effectively build trust-based relationships with all levels at customers Location: Seattle, Washington","Seattle, WA",
